#File_name	N0	b_value	Area
D_114.50_-20.00_0.50 287.88 0.99 11533
D_114.50_-20.50_0.50 130.44 0.99 11498
D_114.50_-21.00_0.50 224.95 0.99 11463
D_114.50_-21.50_0.50 229.71 0.99 11426
D_114.50_-22.00_0.50 258.86 0.99 11389
D_114.50_-22.50_0.50 336.65 0.99 11350
D_114.50_-23.00_0.50 323.48 0.99 11311
D_114.50_-23.50_0.50 259.86 0.99 11271
D_114.50_-24.00_0.50 185.55 0.99 11230
D_114.50_-24.50_0.50 199.63 0.99 11189
D_114.50_-25.00_0.50 156.79 0.99 11146
D_114.50_-25.50_0.50 17.35 0.99 11103
D_114.50_-26.00_0.50 34.69 0.99 11059
D_114.50_-26.50_0.50 43.01 0.99 11014
D_114.50_-27.00_0.50 33.84 0.99 10968
D_114.50_-27.50_0.50 40.80 0.99 10922
D_114.50_-28.00_0.50 74.49 0.99 10874
D_114.50_-28.50_0.50 45.97 0.99 10826
D_114.50_-29.00_0.50 46.01 1.00 10777
D_114.50_-29.50_0.50 40.27 1.00 10727
D_114.50_-32.00_0.50 45.70 1.00 10465
D_114.50_-32.50_0.50 98.32 1.00 10411
D_114.50_-33.00_0.50 126.38 1.00 10355
D_114.50_-33.50_0.50 83.96 1.00 10299
D_114.50_-34.00_0.50 126.62 1.00 10242
D_114.50_-34.50_0.50 57.54 1.00 10184
D_114.50_-35.00_0.50 41.11 1.00 10125
D_115.00_-18.50_0.50 129.04 0.99 11633
D_115.00_-19.00_0.50 115.14 0.99 11600
D_115.00_-19.50_0.50 82.18 0.99 11567
D_115.00_-20.00_0.50 67.32 0.99 11533
D_115.00_-20.50_0.50 61.33 0.99 11498
D_115.00_-21.00_0.50 86.18 0.99 11463
D_115.00_-21.50_0.50 122.51 0.99 11426
D_115.00_-22.00_0.50 146.55 0.99 11389
D_115.00_-22.50_0.50 180.13 0.99 11350
D_115.00_-23.00_0.50 285.39 0.99 11311
D_115.00_-23.50_0.50 276.10 0.99 11271
D_115.00_-24.00_0.50 128.08 0.99 11230
D_115.00_-24.50_0.50 341.78 0.99 11189
D_115.00_-25.00_0.50 417.64 0.99 11146
D_115.00_-25.50_0.50 96.66 0.99 11103
D_115.00_-26.50_0.50 29.89 0.99 11014
D_115.00_-27.00_0.50 80.94 0.99 10968
D_115.00_-27.50_0.50 56.23 0.99 10922
D_115.00_-28.00_0.50 17.90 0.99 10874
D_115.00_-28.50_0.50 11.23 0.99 10826
D_115.00_-29.00_0.50 23.25 1.00 10777
D_115.00_-29.50_0.50 19.75 1.00 10727
D_115.00_-30.00_0.50 14.45 1.00 10676
D_115.00_-32.50_0.50 22.91 1.00 10411
D_115.00_-33.00_0.50 97.23 1.00 10355
D_115.00_-33.50_0.50 90.33 1.00 10299
D_115.00_-34.00_0.50 133.80 1.00 10242
D_115.00_-34.50_0.50 61.87 1.00 10184
D_115.00_-35.00_0.50 45.43 1.00 10125
D_115.50_-18.50_0.50 72.98 0.99 11633
D_115.50_-19.00_0.50 58.11 0.99 11600
D_115.50_-19.50_0.50 71.35 0.99 11567
D_115.50_-20.00_0.50 149.61 0.99 11533
D_115.50_-20.50_0.50 152.75 0.99 11498
D_115.50_-21.00_0.50 125.51 0.99 11463
D_115.50_-21.50_0.50 177.68 0.99 11426
D_115.50_-22.00_0.50 270.71 0.99 11389
D_115.50_-22.50_0.50 202.92 0.99 11350
D_115.50_-23.00_0.50 274.28 0.99 11311
D_115.50_-23.50_0.50 230.11 0.99 11271
D_115.50_-24.00_0.50 66.11 0.99 11230
D_115.50_-24.50_0.50 368.34 0.99 11189
D_115.50_-25.00_0.50 470.25 0.99 11146
D_115.50_-25.50_0.50 165.68 0.99 11103
D_115.50_-26.00_0.50 103.63 0.99 11059
D_115.50_-26.50_0.50 81.71 0.99 11014
D_115.50_-27.00_0.50 62.29 0.99 10968
D_115.50_-27.50_0.50 63.56 0.99 10922
D_115.50_-28.00_0.50 21.80 0.99 10874
D_115.50_-28.50_0.50 28.22 0.99 10826
D_115.50_-29.00_0.50 44.30 1.05 10777
D_115.50_-29.50_0.50 30.84 1.05 10727
D_115.50_-30.00_0.50 36.77 1.05 10676
D_115.50_-30.50_0.50 22.43 1.05 10625
D_115.50_-31.00_0.50 11.41 1.05 10572
D_115.50_-31.50_0.50 19.20 1.05 10519
D_115.50_-32.00_0.50 10.11 1.05 10465
D_115.50_-33.50_0.50 25.76 1.00 10299
D_115.50_-34.00_0.50 25.76 1.00 10242
D_115.50_-34.50_0.50 9.31 1.00 10184
D_115.50_-35.00_0.50 52.63 1.00 10125
D_115.50_-35.50_0.50 53.54 1.00 10065
D_116.00_-18.00_0.50 32.86 0.99 11664
D_116.00_-18.50_0.50 83.40 0.99 11633
D_116.00_-19.00_0.50 77.21 0.99 11600
D_116.00_-19.50_0.50 135.30 0.99 11567
D_116.00_-20.00_0.50 243.27 0.99 11533
D_116.00_-20.50_0.50 200.10 0.99 11498
D_116.00_-21.00_0.50 130.53 0.99 11463
D_116.00_-21.50_0.50 165.58 0.99 11426
D_116.00_-22.00_0.50 247.82 0.99 11389
D_116.00_-22.50_0.50 167.44 0.99 11350
D_116.00_-23.00_0.50 190.21 0.99 11311
D_116.00_-23.50_0.50 143.21 0.99 11271
D_116.00_-24.00_0.50 64.78 0.99 11230
D_116.00_-24.50_0.50 246.35 0.99 11189
D_116.00_-25.00_0.50 330.01 0.99 11146
D_116.00_-25.50_0.50 194.49 0.99 11103
D_116.00_-26.00_0.50 142.02 0.99 11059
D_116.00_-26.50_0.50 970.74 0.99 11014
D_116.00_-27.00_0.50 1149.32 0.99 10968
D_116.00_-27.50_0.50 44.25 0.99 10922
D_116.00_-28.00_0.50 37.86 0.99 10874
D_116.00_-28.50_0.50 35.00 0.99 10826
D_116.00_-29.00_0.50 61.93 1.05 10777
D_116.00_-29.50_0.50 16.31 1.05 10727
D_116.00_-30.00_0.50 35.60 1.05 10676
D_116.00_-30.50_0.50 455.16 1.05 10625
D_116.00_-31.00_0.50 574.32 1.05 10572
D_116.00_-31.50_0.50 217.76 1.05 10519
D_116.00_-32.00_0.50 16.06 1.05 10465
D_116.00_-33.00_0.50 7.94 1.05 10355
D_116.00_-33.50_0.50 25.49 1.05 10299
D_116.00_-34.00_0.50 23.16 1.05 10242
D_116.00_-35.00_0.50 74.15 1.05 10125
D_116.00_-35.50_0.50 67.23 1.00 10065
D_116.50_-17.50_0.50 53.52 0.99 11695
D_116.50_-18.00_0.50 57.65 0.99 11664
D_116.50_-18.50_0.50 45.56 0.99 11633
D_116.50_-19.00_0.50 79.06 0.99 11600
D_116.50_-19.50_0.50 155.30 0.99 11567
D_116.50_-20.00_0.50 157.63 0.99 11533
D_116.50_-20.50_0.50 235.86 0.99 11498
D_116.50_-21.00_0.50 178.83 0.99 11463
D_116.50_-21.50_0.50 36.72 0.99 11426
D_116.50_-22.00_0.50 45.38 0.99 11389
D_116.50_-22.50_0.50 30.67 0.99 11350
D_116.50_-23.50_0.50 21.79 0.99 11271
D_116.50_-24.00_0.50 91.87 0.99 11230
D_116.50_-24.50_0.50 138.08 0.99 11189
D_116.50_-25.00_0.50 316.25 0.99 11146
D_116.50_-25.50_0.50 312.88 0.99 11103
D_116.50_-26.00_0.50 90.61 0.99 11059
D_116.50_-26.50_0.50 1351.54 0.99 11014
D_116.50_-27.00_0.50 2017.53 0.99 10968
D_116.50_-27.50_0.50 68.87 0.99 10922
D_116.50_-28.00_0.50 61.68 0.99 10874
D_116.50_-28.50_0.50 15.81 0.99 10826
D_116.50_-29.00_0.50 19.78 1.05 10777
D_116.50_-29.50_0.50 22.40 1.05 10727
D_116.50_-30.00_0.50 62.18 1.05 10676
D_116.50_-30.50_0.50 635.26 1.05 10625
D_116.50_-31.00_0.50 1001.00 1.05 10572
D_116.50_-31.50_0.50 2066.94 1.05 10519
D_116.50_-32.00_0.50 1359.27 1.05 10465
D_116.50_-32.50_0.50 263.47 1.05 10411
D_116.50_-33.00_0.50 155.55 1.05 10355
D_116.50_-33.50_0.50 41.93 1.05 10299
D_116.50_-34.00_0.50 59.82 1.05 10242
D_116.50_-34.50_0.50 66.24 1.05 10184
D_116.50_-35.00_0.50 24.03 1.05 10125
D_116.50_-35.50_0.50 27.41 1.00 10065
D_117.00_-16.50_0.50 76.19 0.99 11754
D_117.00_-17.00_0.50 60.01 0.99 11725
D_117.00_-17.50_0.50 45.24 0.99 11695
D_117.00_-18.00_0.50 42.07 0.99 11664
D_117.00_-18.50_0.50 95.72 0.99 11633
D_117.00_-19.00_0.50 298.60 0.99 11600
D_117.00_-19.50_0.50 123.14 0.99 11567
D_117.00_-20.00_0.50 53.92 0.99 11533
D_117.00_-20.50_0.50 207.61 0.99 11498
D_117.00_-21.00_0.50 190.53 0.99 11463
D_117.00_-24.00_0.50 77.13 0.99 11230
D_117.00_-24.50_0.50 96.07 0.99 11189
D_117.00_-25.00_0.50 328.27 0.99 11146
D_117.00_-25.50_0.50 423.33 0.99 11103
D_117.00_-26.00_0.50 140.39 0.99 11059
D_117.00_-26.50_0.50 50.79 0.99 11014
D_117.00_-27.00_0.50 38.88 0.99 10968
D_117.00_-27.50_0.50 55.19 0.99 10922
D_117.00_-28.00_0.50 47.76 0.99 10874
D_117.00_-29.00_0.50 21.06 1.05 10777
D_117.00_-29.50_0.50 53.28 1.05 10727
D_117.00_-30.00_0.50 182.65 1.05 10676
D_117.00_-30.50_0.50 2135.01 1.05 10625
D_117.00_-31.00_0.50 2539.83 1.05 10572
D_117.00_-31.50_0.50 2206.66 1.05 10519
D_117.00_-32.00_0.50 2182.57 1.05 10465
D_117.00_-32.50_0.50 683.14 1.05 10411
D_117.00_-33.00_0.50 189.63 1.05 10355
D_117.00_-33.50_0.50 68.15 1.05 10299
D_117.00_-34.00_0.50 136.01 1.05 10242
D_117.00_-34.50_0.50 143.02 1.05 10184
D_117.00_-35.00_0.50 24.03 1.05 10125
D_117.50_-16.50_0.50 67.98 0.99 11754
D_117.50_-17.00_0.50 53.66 0.99 11725
D_117.50_-18.00_0.50 103.52 0.99 11664
D_117.50_-18.50_0.50 314.97 0.99 11633
D_117.50_-19.00_0.50 323.23 0.99 11600
D_117.50_-19.50_0.50 91.12 0.99 11567
D_117.50_-20.00_0.50 116.65 0.99 11533
D_117.50_-20.50_0.50 184.24 0.99 11498
D_117.50_-21.00_0.50 212.92 0.99 11463
D_117.50_-24.00_0.50 17.35 0.99 11230
D_117.50_-24.50_0.50 34.69 0.99 11189
D_117.50_-25.00_0.50 286.88 0.99 11146
D_117.50_-25.50_0.50 338.60 0.99 11103
D_117.50_-26.00_0.50 92.31 0.99 11059
D_117.50_-26.50_0.50 50.79 0.99 11014
D_117.50_-27.00_0.50 64.44 0.99 10968
D_117.50_-27.50_0.50 45.21 0.99 10922
D_117.50_-29.00_0.50 21.06 1.05 10777
D_117.50_-29.50_0.50 51.90 1.05 10727
D_117.50_-30.00_0.50 217.90 1.05 10676
D_117.50_-30.50_0.50 2091.16 1.05 10625
D_117.50_-31.00_0.50 2198.30 1.05 10572
D_117.50_-31.50_0.50 314.92 1.05 10519
D_117.50_-32.00_0.50 517.29 1.05 10465
D_117.50_-32.50_0.50 510.16 1.05 10411
D_117.50_-33.00_0.50 179.56 1.05 10355
D_117.50_-33.50_0.50 260.74 1.05 10299
D_117.50_-34.00_0.50 239.47 1.05 10242
D_117.50_-34.50_0.50 129.33 1.05 10184
D_117.50_-35.00_0.50 45.28 1.05 10125
D_117.50_-35.50_0.50 34.38 1.00 10065
D_118.00_-18.00_0.50 195.44 0.99 11664
D_118.00_-18.50_0.50 346.94 0.99 11633
D_118.00_-19.00_0.50 200.49 0.99 11600
D_118.00_-19.50_0.50 72.38 0.99 11567
D_118.00_-20.00_0.50 254.31 0.99 11533
D_118.00_-20.50_0.50 262.92 0.99 11498
D_118.00_-21.50_0.50 267.43 0.99 11426
D_118.00_-22.00_0.50 212.92 0.99 11389
D_118.00_-23.00_0.50 38.52 0.99 11311
D_118.00_-23.50_0.50 71.89 0.99 11271
D_118.00_-24.00_0.50 34.37 0.99 11230
D_118.00_-24.50_0.50 15.48 0.99 11189
D_118.00_-25.00_0.50 88.37 0.99 11146
D_118.00_-25.50_0.50 79.39 0.99 11103
D_118.00_-27.00_0.50 47.52 0.99 10968
D_118.00_-27.50_0.50 45.82 0.99 10922
D_118.00_-30.00_0.50 75.67 1.05 10676
D_118.00_-30.50_0.50 272.21 1.05 10625
D_118.00_-31.00_0.50 389.60 1.05 10572
D_118.00_-31.50_0.50 211.49 1.05 10519
D_118.00_-32.00_0.50 53.42 1.05 10465
D_118.00_-32.50_0.50 43.45 1.05 10411
D_118.00_-33.00_0.50 183.99 1.05 10355
D_118.00_-33.50_0.50 338.73 1.05 10299
D_118.00_-34.00_0.50 279.70 1.05 10242
D_118.00_-34.50_0.50 76.06 1.05 10184
D_118.00_-35.00_0.50 74.86 1.05 10125
D_118.00_-35.50_0.50 36.43 1.00 10065
D_118.50_-14.50_0.50 299.15 0.99 11861
D_118.50_-17.00_0.50 30.61 0.99 11725
D_118.50_-17.50_0.50 54.63 0.99 11695
D_118.50_-18.00_0.50 464.89 0.99 11664
D_118.50_-18.50_0.50 600.97 0.99 11633
D_118.50_-19.00_0.50 117.62 0.99 11600
D_118.50_-19.50_0.50 77.56 0.99 11567
D_118.50_-20.00_0.50 207.77 0.99 11533
D_118.50_-20.50_0.50 247.14 0.99 11498
D_118.50_-21.00_0.50 49.94 0.99 11463
D_118.50_-21.50_0.50 196.59 0.99 11426
D_118.50_-22.00_0.50 189.98 0.99 11389
D_118.50_-23.00_0.50 38.52 0.99 11311
D_118.50_-23.50_0.50 71.89 0.99 11271
D_118.50_-24.00_0.50 34.37 0.99 11230
D_118.50_-24.50_0.50 15.48 0.99 11189
D_118.50_-25.00_0.50 15.48 0.99 11146
D_118.50_-26.00_0.50 27.49 0.99 11059
D_118.50_-26.50_0.50 27.49 0.99 11014
D_118.50_-30.00_0.50 21.06 1.05 10676
D_118.50_-30.50_0.50 123.53 1.05 10625
D_118.50_-31.00_0.50 119.48 1.05 10572
D_118.50_-31.50_0.50 42.65 1.05 10519
D_118.50_-32.00_0.50 27.54 1.05 10465
D_118.50_-32.50_0.50 30.88 1.05 10411
D_118.50_-33.00_0.50 68.88 1.05 10355
D_118.50_-33.50_0.50 168.20 1.05 10299
D_118.50_-34.00_0.50 149.28 1.05 10242
D_118.50_-34.50_0.50 70.51 1.05 10184
D_118.50_-35.00_0.50 63.03 1.05 10125
D_119.00_-14.50_0.50 299.15 0.99 11861
D_119.00_-15.50_0.50 85.39 0.99 11809
D_119.00_-16.50_0.50 180.68 0.99 11754
D_119.00_-17.00_0.50 199.31 0.99 11725
D_119.00_-17.50_0.50 153.98 0.99 11695
D_119.00_-18.00_0.50 725.44 0.99 11664
D_119.00_-18.50_0.50 821.52 0.99 11633
D_119.00_-19.00_0.50 128.71 0.99 11600
D_119.00_-19.50_0.50 73.47 0.99 11567
D_119.00_-20.00_0.50 392.35 0.99 11533
D_119.00_-20.50_0.50 321.46 0.99 11498
D_119.00_-21.00_0.50 52.24 0.99 11463
D_119.00_-21.50_0.50 71.39 0.99 11426
D_119.00_-22.00_0.50 71.63 0.99 11389
D_119.00_-22.50_0.50 96.35 0.99 11350
D_119.00_-23.00_0.50 50.52 0.99 11311
D_119.00_-26.00_0.50 27.64 0.99 11059
D_119.00_-26.50_0.50 39.20 0.99 11014
D_119.00_-27.00_0.50 20.64 0.99 10968
D_119.00_-27.50_0.50 12.68 0.99 10922
D_119.00_-29.00_0.50 13.72 1.00 10777
D_119.00_-29.50_0.50 13.72 1.00 10727
D_119.00_-30.00_0.50 19.27 1.00 10676
D_119.00_-30.50_0.50 44.29 1.00 10625
D_119.00_-31.00_0.50 33.82 1.00 10572
D_119.00_-31.50_0.50 22.32 1.00 10519
D_119.00_-32.00_0.50 16.96 1.00 10465
D_119.00_-32.50_0.50 16.96 1.00 10411
D_119.00_-33.00_0.50 12.23 1.00 10355
D_119.00_-33.50_0.50 29.03 1.00 10299
D_119.00_-34.00_0.50 33.75 1.00 10242
D_119.00_-34.50_0.50 22.21 1.00 10184
D_119.00_-35.00_0.50 22.21 1.00 10125
D_119.50_-15.50_0.50 85.39 0.99 11809
D_119.50_-16.50_0.50 181.23 0.99 11754
D_119.50_-17.00_0.50 177.83 0.99 11725
D_119.50_-17.50_0.50 168.79 0.99 11695
D_119.50_-18.00_0.50 311.34 0.99 11664
D_119.50_-18.50_0.50 276.51 0.99 11633
D_119.50_-19.00_0.50 98.41 0.99 11600
D_119.50_-19.50_0.50 49.44 0.99 11567
D_119.50_-20.00_0.50 191.50 0.99 11533
D_119.50_-20.50_0.50 263.34 0.99 11498
D_119.50_-21.00_0.50 203.78 0.99 11463
D_119.50_-21.50_0.50 183.85 0.99 11426
D_119.50_-22.00_0.50 143.67 0.99 11389
D_119.50_-22.50_0.50 111.18 0.99 11350
D_119.50_-23.00_0.50 50.52 0.99 11311
D_119.50_-26.50_0.50 16.86 0.99 11014
D_119.50_-27.00_0.50 20.06 0.99 10968
D_119.50_-27.50_0.50 20.06 0.99 10922
D_119.50_-28.00_0.50 15.92 0.99 10874
D_119.50_-29.00_0.50 12.85 0.99 10777
D_119.50_-29.50_0.50 12.85 0.99 10727
D_119.50_-30.00_0.50 11.47 0.99 10676
D_119.50_-30.50_0.50 11.47 0.99 10625
D_119.50_-31.00_0.50 17.47 0.99 10572
D_119.50_-31.50_0.50 28.76 0.99 10519
D_119.50_-32.00_0.50 47.92 0.99 10465
D_119.50_-32.50_0.50 42.69 0.99 10411
D_119.50_-33.50_0.50 20.23 0.99 10299
D_119.50_-34.00_0.50 43.97 0.99 10242
D_119.50_-34.50_0.50 34.16 0.99 10184
D_119.50_-35.00_0.50 11.47 0.99 10125
D_120.00_-13.50_0.50 664.34 0.99 11910
D_120.00_-14.00_0.50 528.92 0.99 11886
D_120.00_-16.00_0.50 95.70 0.99 11782
D_120.00_-16.50_0.50 1120.22 0.99 11754
D_120.00_-17.00_0.50 834.88 0.99 11725
D_120.00_-17.50_0.50 144.60 0.99 11695
D_120.00_-18.00_0.50 104.91 0.99 11664
D_120.00_-18.50_0.50 21.75 0.99 11633
D_120.00_-19.00_0.50 33.89 0.99 11600
D_120.00_-19.50_0.50 69.02 0.99 11567
D_120.00_-20.00_0.50 90.10 0.99 11533
D_120.00_-20.50_0.50 288.73 0.99 11498
D_120.00_-21.00_0.50 646.20 0.99 11463
D_120.00_-21.50_0.50 516.97 0.99 11426
D_120.00_-22.00_0.50 120.06 0.99 11389
D_120.00_-22.50_0.50 65.03 0.99 11350
D_120.00_-23.00_0.50 50.83 0.99 11311
D_120.00_-23.50_0.50 17.35 0.99 11271
D_120.00_-24.00_0.50 17.35 0.99 11230
D_120.00_-25.50_0.50 33.49 0.99 11103
D_120.00_-26.00_0.50 33.01 0.99 11059
D_120.00_-27.50_0.50 30.01 0.99 10922
D_120.00_-28.00_0.50 30.01 0.99 10874
D_120.00_-31.00_0.50 30.00 0.99 10572
D_120.00_-31.50_0.50 40.77 0.99 10519
D_120.00_-32.00_0.50 54.34 0.99 10465
D_120.00_-32.50_0.50 48.41 0.99 10411
D_120.00_-33.00_0.50 18.15 0.99 10355
D_120.00_-33.50_0.50 32.41 0.99 10299
D_120.00_-34.00_0.50 47.00 0.99 10242
D_120.00_-34.50_0.50 31.50 0.99 10184
D_120.50_-13.50_0.50 664.34 0.99 11910
D_120.50_-14.00_0.50 528.92 0.99 11886
D_120.50_-15.50_0.50 135.34 0.99 11809
D_120.50_-16.00_0.50 277.07 0.99 11782
D_120.50_-16.50_0.50 1373.78 0.99 11754
D_120.50_-17.00_0.50 1010.51 0.99 11725
D_120.50_-17.50_0.50 180.57 0.99 11695
D_120.50_-18.00_0.50 200.97 0.99 11664
D_120.50_-18.50_0.50 165.29 0.99 11633
D_120.50_-19.00_0.50 89.05 0.99 11600
D_120.50_-19.50_0.50 101.76 0.99 11567
D_120.50_-20.00_0.50 133.39 0.99 11533
D_120.50_-20.50_0.50 347.65 0.99 11498
D_120.50_-21.00_0.50 683.90 0.99 11463
D_120.50_-21.50_0.50 461.25 0.99 11426
D_120.50_-22.00_0.50 83.85 0.99 11389
D_120.50_-22.50_0.50 81.56 0.99 11350
D_120.50_-23.00_0.50 76.86 0.99 11311
D_120.50_-23.50_0.50 57.50 0.99 11271
D_120.50_-24.00_0.50 17.35 0.99 11230
