RunAuth,Type,Ind,Ass,Year,Month,Day,Hour,Minute,Second,STCode,STCorr,LongitudeE,LatitudeS,Depth,ZCode,Mx,Mval,HDPlace
ADE,local,2,Preferred,1876,3,19,15,30,,UTC,0,139.083,34.517,7, ,MP,3.7,Angaston; SA
ADE,local,0,Preferred,1876,3,22,9,30,,UTC,0,139.083,34.517,7, ,MP,3.1,Angaston; SA
ADE,local,0,Preferred,1876,3,22,13,15,,UTC,0,139.083,34.517,7, ,MP,3.5,Angaston; SA
BRS,local,1,Preferred,1877,2,26,21,45,,UTC,0,152.8,27.5,10,N,MP,4.5,Ipswich; Qld
ADE,local,1,Preferred,1877,8,21,16,30,,UTC,0,138.767,35.017,7, ,MP,2.7,Bridgewater; SA
ADE,local,1,Preferred,1879,11,30,0,30,,UTC,0,138.55,33.817,7, ,MP,4.2,Clare; SA
ADE,local,1,Preferred,1880,1,25,11,30,,UTC,0,138.367,33.617,9, ,MP,3.3,Koolunga; SA
Leiba,local,1,Preferred,1880,2,3,6,30,,UTC,0,146.4,43,10,N,MP,5.5,Southwest; Tas
ADE,local,1,Preferred,1880,4,28,9,30,,UTC,0,139.25,35.333,7, ,MP,4.1,Lake Alexandrina; SA
BRS,local,1,Preferred,1880,7,31,7,0,,UTC,0,148.4,31,10,N,MP,3.2,Coonamble; NSW
BRS,local,1,Preferred,1880,8,10,19,0,,UTC,0,151.9,28.9,10,N,MP,3.6,Warwick; Qld
BRS,local,1,Preferred,1880,10,26,1,0,,UTC,0,151.6,31,10,C,MP,3.2,Walcha; NSW
Gliddon,local,1,Preferred,1881,6,7,14,0,,UTC,0,145.25,38.5,10,G,M?,3.5,Phillip Island?; Vic
ADE,local,1,Preferred,1882,3,18,16,30,,UTC,0,138.9,35.267,7, ,MP,3,Strathalbyn; SA
ADE,local,1,Preferred,1882,9,18,7,30,,UTC,0,138.63,34.517,7, ,MP,3.1,Magill; SA
ADE,local,1,Preferred,1882,10,24,0,0,,UTC,0,139.85,36.83,10, ,MP,3.1,Kingston; SA
ADE,local,0,Preferred,1883,7,7,13,38,,UTC,0,138.7,35.1,14,,MP,4.2,Mt Barker; SA
ADE,local,0,Preferred,1883,7,7,13,43,,UTC,0,138.7,35.1,14, ,MP,3.1,Mt Barker; SA
ADE,local,2,Preferred,1883,7,7,13,58,,UTC,0,138.7,35.1,10, ,MP,4.7,Mt Barker; SA
BRS,local,2,Preferred,1883,8,28,16,55,,AEST,10,151.7,25.5,10,N,MP,5.9,Gayndah; Qld
BRS,local,0,Preferred,1883,8,28,18,20,,AEST,10,151.7,25.5,10,N,MP,5.2,Gayndah; Qld
Underwood,local,0,Preferred,1883,12,13,0,0,,UTC,0,149.107,39.96,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1884,2,14,0,17,,UTC,0,149,40,10,N,MP,3,Tasman Sea
Leiba,local,0,Preferred,1884,2,17,5,25,,UTC,0,149.8,40.3,,,MP,5.7,Tasman Sea
Leiba,local,0,Preferred,1884,3,5,9,27,,UTC,0,149.5,40.2,,,MP,5.6,Tasman Sea
Underwood,local,0,Preferred,1884,3,18,12,20,,UTC,0,149.2,40.1,10,N,MP,3,Tasman Sea
Underwood,local,1,Preferred,1884,3,26,13,56,,UTC,0,150,37,10,N,MP,4,Green Cape; NSW
Underwood,local,0,Preferred,1884,3,27,11,20,,UTC,0,149.1,40.1,10,N,MP,3,Tasman Sea
Leiba,local,0,Preferred,1884,3,28,13,12,,UTC,0,148.9,41.2,,,MP,5.9,Tasman Sea
Leiba,local,0,Preferred,1884,5,10,12,30,,UTC,0,148.9,41.2,,,MP,5.7,Tasman Sea
Leiba,local,0,Preferred,1884,5,10,21,30,,UTC,0,148.9,41.2,,,MP,5.9,Tasman Sea
Leiba,local,0,Preferred,1884,5,27,10,22,,UTC,0,148.9,41.2,,,MP,5.8,Tasman Sea
Underwood,local,0,Preferred,1884,6,9,10,20,,UTC,0,149.1,39.9,10,N,MP,4,Tasman Sea
Leiba,local,0,Preferred,1884,6,17,10,17,,UTC,0,148.8,39.8,,,MP,5.8,Tasman Sea
Underwood,local,1,Preferred,1884,6,17,10,36,,UTC,0,150,37,10,N,MP,3,Green Cape; NSW
Leiba,local,0,Preferred,1884,6,22,20,45,,UTC,0,149.5,40.3,,,MP,5.8,Tasman Sea
Leiba,local,0,Preferred,1884,7,12,3,30,,UTC,0,148.9,41.2,,,MP,5.2,Tasman Sea
Leiba,local,0,Preferred,1884,7,13,3,55,,UTC,0,148.5,40.5,10,N,MP,6.4,Cape Barren Island; Tas
Underwood,local,0,Preferred,1884,8,3,2,40,,UTC,0,148.9,40.1,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1884,8,7,12,20,,UTC,0,148.9,39.9,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1884,8,14,9,15,,UTC,0,148.95,40.05,10,N,MP,4,Tasman Sea
ADE,local,1,Preferred,1884,9,15,13,41,,UTC,0,138.833,32.983,6, ,MP,2.8,Peterborough; SA
Underwood,local,0,Preferred,1884,9,16,11,50,,UTC,0,149.15,40.05,10,N,MP,5,Tasman Sea
Leiba,local,0,Preferred,1884,9,19,10,27,,UTC,0,149.5,40.8,,,MP,6.4,E of Flinders Is; Tasman Sea
BMR,local,2,Preferred,1885,1,5,12,20,,AWST,8,114,29,0, ,MP,6.5,Off Geraldton; WA
Underwood,local,1,Preferred,1885,1,9,17,35,,UTC,0,145.3,38.2,10,N,MP,4,Berwick; Vic
BMR,local,1,Preferred,1885,1,21,1,10,,UTC,0,149.1,36.3,10,N,MP,4.6,Berridale; NSW
Underwood,local,0,Preferred,1885,1,30,15,5,,UTC,0,148.83,39.81,10,N,MP,6,E of Flinders Is; Tasman Sea
Underwood,local,0,Preferred,1885,2,8,15,5,,UTC,0,149.05,39.9,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,2,21,10,0,,UTC,0,149,39.8,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,2,21,18,15,,UTC,0,149,40.2,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,2,27,12,0,,UTC,0,148.9,39.9,10,N,MP,5,Tasman Sea
Underwood,local,1,Preferred,1885,3,9,13,20,,UTC,0,144.9,37.8,10,N,MP,3,Melbourne; Vic
Underwood,local,0,Preferred,1885,3,15,19,50,,UTC,0,148.99,39.8,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,3,15,23,0,,UTC,0,148.99,40.1,10,N,MP,4,Tasman Sea
MELOBS,local,0,Preferred,1885,3,16,9,45,,UTC,0,149.12,40.12,10,N,MP,3,Tasman Sea
Leiba,local,0,Preferred,1885,3,20,23,3,,UTC,0,149.5,40.5,,,MP,5.9,E of Flinders Is; Tasman Sea
Underwood,local,0,Preferred,1885,3,22,8,5,,UTC,0,148.9,40.13,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,3,22,18,30,,UTC,0,149,39.82,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1885,3,26,8,50,,UTC,0,148.8,40,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,3,30,11,25,,UTC,0,148.826,40.015,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1885,5,4,11,0,,UTC,0,149.18,39.887,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1885,5,4,12,50,,UTC,0,149.076,39.828,10,N,MP,5,Tasman Sea
E&T,local,0,Preferred,1885,5,7,20,0,,AWST,8,115,29,0,G,ML,4,SE of Geraldton; WA
Underwood,local,0,Preferred,1885,5,11,13,20,,UTC,0,149.045,40.012,10,N,MP,4,Tasman Sea
Leiba,local,0,Preferred,1885,5,12,23,37,,UTC,0,148.9,39.9,10,N,MP,6.8,E of Flinders Is; Tasman Sea
Underwood,local,0,Preferred,1885,5,27,7,20,,UTC,0,149.161,39.802,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,5,31,7,56,,UTC,0,149.136,40.139,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1885,5,31,12,45,,UTC,0,149.059,39.853,10,N,MP,5.5,Tasman Sea
Leiba,local,0,Preferred,1885,7,2,16,3,,UTC,0,146,39,,,MP,5.7,Tasman Sea
Underwood,local,1,Preferred,1885,7,3,14,57,,UTC,0,145,37.8,10,N,MP,3,Melbourne; Vic
Underwood,local,0,Preferred,1885,7,16,22,15,,UTC,0,149,40,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,8,1,5,0,,UTC,0,148.924,39.996,10,N,MP,4,Tasman Sea
Underwood,local,0,Preferred,1885,8,1,15,18,,UTC,0,148.926,39.9,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1885,8,19,18,32,,UTC,0,148.934,40.12,10,N,MP,5,Tasman Sea
Leiba,local,0,Preferred,1885,9,11,9,13,,UTC,0,148.8,39.8,,,MP,5.6,Tasman Sea
Underwood,local,0,Preferred,1885,9,12,16,45,,UTC,0,148.7,40,10,N,MP,4,Tasman Sea
Underwood,local,1,Preferred,1885,10,7,23,56,,UTC,0,147,37,10,N,MP,4.5,Bright; Vic
MELOBS,local,1,Preferred,1885,10,27,0,0,,UTC,0,147.6,37.1,10,N,MP,3,Omeo; Vic
Underwood,local,0,Preferred,1885,11,1,4,52,,UTC,0,149,39.7,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1886,1,3,12,56,,UTC,0,148.819,39.553,10,N,MP,5,Tasman Sea
Underwood,local,0,Preferred,1886,3,8,4,15,,UTC,0,149.016,39.868,10,N,MP,5,Tasman Sea
MELOBS,local,1,Preferred,1886,3,9,0,0,,UTC,0,144.9,37.8,10,N,MP,3,Melbourne; Vic
ADE,local,1,Preferred,1886,6,1,5,45,,UTC,0,138.717,35.117,7, ,MP,3.5,Echunga; SA
ADE,local,1,Preferred,1886,7,11,6,45,,UTC,0,138.617,33.5,11, ,MP,3.8,Gladstone; SA
Underwood,local,1,Preferred,1886,7,14,16,37,,UTC,0,147,37,10,N,MP,4,Bright; Vic
Underwood,local,0,Preferred,1886,8,2,11,15,,UTC,0,148.973,40.033,10,N,MP,5,Tasman Sea
Leiba,local,0,Preferred,1886,9,7,22,30,,UTC,0,149.15,41.25,,,MP,5.4,Tasman Sea
KMcC,local,1,Preferred,1886,9,28,18,45,,UTC,0,138.9,34.25,10,N,MP,4.5,Kapunda; SA
Leiba,local,0,Preferred,1886,11,26,22,55,,UTC,0,148.9,41.1,,,MP,5.7,Tasman Sea
BMR,local,1,Preferred,1886,11,29,17,0,,UTC,0,148.8,34.75,10,N,MP,5.5,Yass; NSW
Underwood,local,1,Preferred,1886,12,2,8,43,,UTC,0,143.5,39,10,N,MP,4,Cape Otway; Vic
ADE,local,1,Preferred,1887,1,8,10,30,,UTC,0,138,32.45,10, ,MP,5.2,Quorn; SA
Underwood,local,0,Preferred,1887,3,8,13,27,,UTC,0,148.974,40.052,10,N,MP,4,Tasman Sea
ADE,local,1,Preferred,1887,4,16,13,10,,UTC,0,139,33.5,10,N,MP,4.4,Mt Bryan; SA
ADE,local,1,Preferred,1887,4,16,22,10,,UTC,0,135.8,34.3,14,,MP,5.7,Eyre Peninsula; SA
BRS,local,1,Preferred,1887,7,28,6,55,,UTC,0,147,31.3,10, C,ML,4,Nyngan; NSW
Underwood,local,1,Preferred,1887,8,1,20,19,,UTC,0,143.8,39,10,N,MP,4,Cape Otway; Vic
ADE,local,1,Preferred,1887,8,7,4,10,,UTC,0,138.45,32.533,8, ,MP,4,Hammond; SA
Underwood,local,0,Preferred,1887,11,9,16,33,,UTC,0,148.982,40.188,10,N,MP,4.5,Tasman Sea
KMcC,local,1,Preferred,1888,7,5,20,15,,UTC,0,149.1,34.8,10,N,MP,5.3,Yass; NSW
BRS,local,1,Preferred,1888,8,22,15,0,,UTC,0,149,29,10,N,MP,3.2,Mungindi; NSW
ADE,local,1,Preferred,1889,2,12,6,45,,UTC,0,139,34,0, ,MP,4.6,Robertstown; SA
ADE,local,1,Preferred,1889,3,11,12,50,,UTC,0,137.75,34.1,8, ,MP,4.1,Paskeville; SA
Underwood,local,0,Preferred,1889,7,29,8,40,,UTC,0,148.847,40.227,10,N,MP,5,Tasman Sea
Underwood,local,1,Preferred,1889,10,27,10,16,,UTC,0,147.5,37,10,N,MP,3,Omeo; Vic
ADE,local,1,Preferred,1890,7,23,21,30,,UTC,0,138.7,32.85,8, ,MP,4.2,Black Rock; SA
BRS,local,2,Preferred,1891,1,5,3,34,,UTC,0,151.1,25.4,10,N,MP,3.8,Eidsvold; Qld
Underwood,local,2,Preferred,1891,6,7,4,24,,AEST,10,144.9,38.2,10,N,MP,4.5,Port Phillip Bay; Vic
Underwood,local,0,Preferred,1891,6,8,4,8,,UTC,0,145,37.8,10,N,MP,3,Melbourne; Vic
Underwood,local,1,Preferred,1891,7,5,10,20,,UTC,0,142.3,38.3,10,N,MP,3,Koroit; Vic
GG,local,2,Preferred,1891,7,8,5,50,,UTC,0,146.4,37.9,10,N,MP,4.5,Walhalla; Vic
GG,local,0,Preferred,1891,7,8,9,40,,UTC,0,146.4,37.9,10,N,MP,3,Walhalla; Vic
ADE,local,1,Preferred,1891,8,29,9,16,,UTC,0,138.367,31.917,10, ,MP,4.4,Hawker; SA
Underwood,local,1,Preferred,1891,10,20,6,20,,UTC,0,145.5,38.5,10,N,MP,3,Grantville; Vic
Leiba,local,2,Preferred,1892,1,26,16,48,,UTC,0,149.5,40.4,10,N,MP,6.9,E of Flinders Is; Tasman Sea
Underwood,local,0,Preferred,1892,1,26,16,55,,UTC,0,149.221,40.097,10,N,MP,5,Tasman Sea
MELOBS,local,1,Preferred,1892,12,23,0,0,,UTC,0,145.1,38.2,10,N,MP,3,Mornington Peninsula; Vic
Underwood,local,1,Preferred,1893,5,20,16,37,,UTC,0,146.7,38.9,10,N,MP,3,Cliffy Island; Vic
Underwood,local,1,Preferred,1893,7,21,18,15,,UTC,0,147.5,37,10,N,MP,3,Omeo; Vic
Underwood,local,2,Preferred,1893,7,22,15,35,,UTC,0,144,37,10,N,MP,3.5,Newstead; Vic
Underwood,local,0,Preferred,1893,7,22,15,55,,UTC,0,144,37,10,N,MP,2.5,Newstead; Vic
Underwood,local,0,Preferred,1893,7,22,16,20,,UTC,0,144,37,10,N,MP,2.5,Newstead; Vic
Malpas,local,1,Preferred,1893,8,13,2,10,,UTC,0,138.97,34.38,10,N,MP,3.6,Kapunda; SA
Underwood,local,1,Preferred,1893,10,9,12,43,,UTC,0,145.1,37,10,N,MP,3,Seymour; Vic
Underwood,local,1,Preferred,1893,12,23,14,36,,UTC,0,145.1,38.4,10,N,MP,4,Flinders; Vic
Underwood,local,1,Preferred,1894,7,11,22,40,,UTC,0,147.1,37.4,10,N,MP,3,Grant; Vic
Rynn,local,1,Preferred,1894,7,16,12,45,,UTC,0,143.5,18.3,0, ,ML,4,Georgetown; Qld
ADE,local,1,Preferred,1894,8,7,12,58,,UTC,0,138.917,34.167,7, ,MP,3.3,Kapunda; SA
Underwood,local,1,Preferred,1894,11,22,3,15,,UTC,0,149.5,38,10,N,MP,3.5,Cape Everard; Vic
Underwood,local,1,Preferred,1894,12,10,8,20,,UTC,0,147.5,37,10,N,MP,3,Omeo; Vic
Underwood,local,1,Preferred,1895,5,8,10,50,,UTC,0,143.5,39,10,N,MP,3,Cape Otway; Vic
Underwood,local,1,Preferred,1896,2,1,16,30,,UTC,0,145.2,38.2,5,G,MP,3,Cranbourne; Vic
BRS,local,0,Preferred,1896,2,27,10,58,,UTC,0,146.5,16.8,25,,MP,4.2,Cairns; Qld
BRS,local,2,Preferred,1896,2,27,11,0,,UTC,0,146.5,16.8,25,,MP,4.2,Cairns; Qld
Underwood,local,1,Preferred,1896,3,28,7,30,,UTC,0,145.5,38,5,G,MP,2.5,Gembrook; Vic
ADE,local,1,Preferred,1896,5,4,5,55,,UTC,0,139.85,36.83,10, ,MP,4.2,Kingston; SA
Underwood,local,1,Preferred,1896,5,9,10,34,,UTC,0,145.9,38.1,5,G,MP,3,Drouin; Vic
McArdle,local,1,Preferred,1896,5,17,20,0,,AEST,10,141.6,37.2,,,MP,3,Harrow; Vic
Underwood,local,1,Preferred,1896,5,30,0,0,,UTC,0,146.3,38.4,10,N,MP,2.5,Yinnar; Vic
Underwood,local,1,Preferred,1896,8,13,11,30,,UTC,0,147,37,10,N,MP,4,Eastern Highlands; Vic
ADE,local,2,Preferred,1896,8,22,2,56,,UTC,0,138.917,33.75,0,G,MP,4.3,Burra; SA
ADE,local,0,Preferred,1896,8,22,6,30,,UTC,0,138.917,33.75,0,,MP,4,Burra; SA
ADE,local,0,Preferred,1896,8,23,11,30,,UTC,0,138.917,33.75,0,,MP,4.2,Burra; SA
Underwood,local,1,Preferred,1897,3,29,11,55,,UTC,0,144,35.7,10,N,MP,4,Kerang; Vic
ADE,local,1,Preferred,1897,4,9,0,0,,UTC,0,140.67,38.07,10, ,MP,3.6,Cape Northumberland; SA
ADE,local,0,Preferred,1897,4,11,14,35,,UTC,0,140.37,37.9,10, ,MP,3.6,Cape Banks; SA
KMcC,local,2,Preferred,1897,5,10,5,26,,ACST,9.5,139.75,37.3,14, ,MP,6.5,Kingston-Beachport; SA
ADE,local,0,Preferred,1897,5,10,7,55,,UTC,0,139.75,37.3,0, ,MP,4,Kingston-Beachport; SA
Underwood,local,1,Preferred,1897,6,3,14,0,,AEST,10,141.5,37.1,10, ,MP,3,Harrow; Vic
McArdle,local,1,Preferred,1897,6,12,,,,AEST,10,150.4,34.5,,,MP,3.5,Moss Vale; NSW
Qld Met,local,1,Preferred,1897,6,15,19,0,,UTC,0,151.1,24.9,10,N,MP,3.2,Monto; Qld
ADE,local,0,Preferred,1897,6,25,10,25,,UTC,0,139.75,37.17,10, ,MP,2.8,Robe; SA
ADE,local,0,Preferred,1897,6,29,18,30,,UTC,0,139.85,36.83,10, ,MP,4.4,Kingston; SA
Underwood,local,1,Preferred,1897,9,26,19,0,,UTC,0,147.5,37.1,10,N,MP,3,Omeo; Vic
ADE,local,1,Preferred,1898,1,28,8,20,,UTC,0,139.033,34.417,8, ,MP,3.6,Barossa Valley; SA
Underwood,local,1,Preferred,1898,1,29,11,20,,UTC,0,145.5,37.2,10,N,MP,3,Yea; Vic
Underwood,local,1,Preferred,1898,2,5,1,40,,UTC,0,145.7,37.7,10,N,MP,3,Warburton; Vic
ADE,local,0,Preferred,1898,4,10,21,10,,UTC,0,139.75,37.3,10,N,MP,4.9,Robe-Beachport; SA
Underwood,local,1,Preferred,1898,9,6,4,15,,UTC,0,145.7,37.4,10,N,MP,4,Alexandra; Vic
ADE,local,0,Preferred,1898,11,18,21,20,,UTC,0,139.85,36.83,10, ,MP,3.8,Kingston; SA
Underwood,local,1,Preferred,1898,11,22,1,40,,UTC,0,146.1,37.1,10,N,MP,3,Mansfield; Vic
Underwood,local,1,Preferred,1898,12,20,5,35,,UTC,0,144.5,36.6,5,G,MP,3.5,Goornong; Vic
Underwood,local,1,Preferred,1899,2,5,3,10,,UTC,0,144.9,38.5,10,N,MP,3,Cape Schanck; Vic
Underwood,local,1,Preferred,1899,4,12,0,25,,UTC,0,142.8,37.1,10,N,MP,3,Stawell; Vic
ADE,local,0,Preferred,1899,5,2,3,30,,UTC,0,139.75,37.3,0,,MP,5.3,Robe; SA
Underwood,local,1,Preferred,1899,5,21,0,0,,UTC,0,145.5,38.1,10,N,MP,3,Pakenham; Vic
Underwood,local,1,Preferred,1899,6,7,21,30,,UTC,0,144.3,37.6,10,N,MP,3,Gordon; Vic
Underwood,local,2,Preferred,1899,6,8,5,35,,UTC,0,144.3,37.6,5,G,MP,2.5,Gordon; Vic
Underwood,local,1,Preferred,1899,6,21,18,53,,UTC,0,145.6,37.2,10,N,MP,3,Yea; Vic
ADE,local,0,Preferred,1899,8,10,21,30,,UTC,0,139.85,36.83,10, ,MP,2.8,Kingston; SA
ADE,local,0,Preferred,1899,8,13,11,42,,UTC,0,139.85,36.83,10, ,MP,3.3,Kingston; SA
GG,local,1,Preferred,1899,11,23,7,15,,AEST,10,144.75,38.1,10,N,MP,3.5,Port Phillip Bay; Vic
Underwood,local,1,Preferred,1899,12,1,12,55,,UTC,0,145,35,10,N,MP,5,Western Riverina; NSW
Underwood,local,1,Preferred,1900,3,11,17,30,,UTC,0,142.5,38.4,10, ,MP,3,Warrnambool; Vic
Underwood,local,1,Preferred,1900,5,26,0,0,,AEST,10,146.05,37.05,10, ,MP,3,Mansfield; Vic
GG,local,1,Preferred,1900,5,27,2,25,,AEST,10,145.9,38.2,10, ,MP,4.5,Warragul; Vic
Underwood,local,1,Preferred,1900,6,5,10,0,,AEST,10,144.17,37.88,10, ,MP,3.5,Steiglitz; Vic
Underwood,local,1,Preferred,1900,9,4,9,10,,AEST,10,146.15,37.3,10, ,MP,3,Jamieson; Vic
Underwood,local,1,Preferred,1900,9,16,15,0,,AEST,10,142.5,38.4,10, ,MP,3,Warrnambool; Vic
Underwood,local,1,Preferred,1900,10,8,4,48,,AEST,10,146.58,36.67,10, ,MP,3.5,Myrtleford; Vic
Underwood,local,1,Preferred,1901,6,15,22,5,,AEST,10,143.1,38.7,10, ,MP,3,Princetown; Vic
Underwood,local,0,Preferred,1901,11,18,16,0,,AEST,10,146.4,38,10, ,MP,2.5,Walhalla; Vic
GG,local,2,Preferred,1901,11,19,15,40,,AEST,10,146.4,38,10, ,MP,4,Moondarra; Vic
MELOBS,local,1,Preferred,1902,1,21,0,0,,AEST,10,143.7,38.7,, ,MP,3,Wild Dog Gully; Vic
GG,local,1,Preferred,1902,3,8,10,30,,AEST,10,144.2,37,10, ,MP,3.5,Harcourt; Vic
ADE,local,1,Preferred,1902,5,7,5,10,,ACST,9.5,138.5,32.75,0, ,MP,4.8,Orroroo; SA
ADE,local,1,Preferred,1902,5,13,18,50,,ACST,9.5,138.88,34.15,0, ,MP,3.5,Marrabel; SA
Underwood,local,1,Preferred,1902,5,27,0,0,,AEST,10,144.6,38.1,10, ,MP,2.5,Portarlington; Vic
ADE,local,1,Preferred,1902,6,5,22,35,,ACST,9.5,138.35,33.166,0, ,MP,3.1,Caltowie; SA
