time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-09T17:47:51.960Z,-11.7622,117.6019,10,4.3,mb,,56,4.715,1.33,us,us20008l5f,2017-05-09T01:24:32.040Z,"280km SW of Panenggoede, Indonesia",earthquake,8.4,1.9,0.137,15,reviewed,us,us
2017-02-03T20:26:18.720Z,-11.1391,116.2387,32.76,4.3,mb,,121,3.355,1.25,us,us20008k8y,2017-04-27T01:38:43.040Z,"248km S of Kute, Indonesia",earthquake,7.7,6.1,0.154,12,reviewed,us,us
2017-02-01T13:37:54.820Z,-35.0581,139.1956,10,3.9,mb,,111,3.439,1.22,us,us10007wmj,2017-04-27T01:38:41.040Z,"9km NW of Murray Bridge, Australia",earthquake,6.6,2,0.209,6,reviewed,us,us
2017-01-26T13:52:13.570Z,-10.9155,121.6397,47,4.3,mb,,77,2.34,1.11,us,us10007vig,2017-04-19T18:31:00.040Z,"133km SE of Mburukullu, Indonesia",earthquake,7.8,6.5,0.114,22,reviewed,us,us
2017-01-05T18:49:00.640Z,-10.3564,119.3023,35,4.3,mb,,84,3.362,0.68,us,us10007rhd,2017-03-27T23:53:24.040Z,"67km S of Bogorawatu, Indonesia",earthquake,5.8,1.7,0.101,28,reviewed,us,us
2017-01-04T02:39:40.690Z,-11.5752,113.4321,10,4.8,mb,,129,3.165,0.93,us,us10007pl1,2017-03-27T23:53:22.040Z,"South of Java, Indonesia",earthquake,8.8,1.9,0.095,34,reviewed,us,us
2017-01-03T15:30:19.000Z,-30.609,118.455,10,4.5,mb,,,,0.74,us,us10007pgt,2017-03-27T23:53:20.040Z,"98km N of Merredin, Australia",earthquake,5.7,5.5,0.145,14,reviewed,aust,us
2016-12-13T13:35:51.500Z,-11.6665,111.9291,26.46,4.2,mb,,160,3.857,0.77,us,us10007lr9,2017-03-09T02:14:30.040Z,"South of Java, Indonesia",earthquake,10.4,7.9,0.186,8,reviewed,us,us
2016-11-22T19:51:30.420Z,-10.8442,123.3875,37.96,4.5,mb,,68,0.689,1.29,us,us10007du6,2017-02-15T23:21:37.040Z,"77km SSW of Kupang, Indonesia",earthquake,5.3,10.4,0.131,18,reviewed,us,us
2016-11-22T18:56:17.740Z,-10.6533,123.3685,38.5,4.4,mb,,83,0.53,0.94,us,us10007dtz,2017-02-15T23:21:37.040Z,"58km SSW of Kupang, Indonesia",earthquake,5.4,9.3,0.124,21,reviewed,us,us
2016-11-10T10:24:51.000Z,-19.853,133.866,5,4.2,mb,,,,1.26,us,us100076lx,2017-02-02T02:21:06.040Z,"41km WSW of Tennant Creek, Australia",earthquake,5,1.9,0.528,1,reviewed,aust,us
2016-11-06T09:54:31.000Z,-19.106,127.987,10,4.8,mb,,,,1.14,us,us100075ug,2017-02-02T02:21:01.040Z,"95km SSE of Halls Creek, Australia",earthquake,7.2,4.7,0.113,24,reviewed,aust,us
2016-11-03T16:25:13.000Z,-29.627,137.098,10,4.1,mb,,,,0.3,us,us100076nj,2017-01-24T02:02:16.040Z,"105km N of Roxby Downs, Australia",earthquake,7,3.1,0.212,6,reviewed,aust,us
2016-09-30T19:33:42.560Z,-10.3794,149.4146,19.29,4,mb,,214,2.423,0.62,us,us20007dj5,2017-01-03T21:10:39.040Z,"109km W of Alotau, Papua New Guinea",earthquake,14.2,5,0.144,13,reviewed,us,us
2016-09-12T10:38:20.900Z,-11.2609,113.8675,35.15,4.7,mb,,84,2.787,1.49,us,us10006p10,2016-12-07T02:56:12.040Z,"296km S of Sidorukun, Indonesia",earthquake,7.3,7.1,0.096,33,reviewed,us,us
2016-09-04T12:35:30.800Z,-10.3298,119.2445,43.68,4.3,mb,,84,3.398,1.02,us,us10006kbr,2016-12-03T02:54:41.040Z,"64km S of Bogorawatu, Indonesia",earthquake,5.2,8.5,0.125,18,reviewed,us,us
2016-08-19T14:39:22.000Z,-25.582,129.806,0,3.9,mb,,,,1.18,us,us10006ggk,2016-11-19T04:58:31.040Z,"Northern Territory, Australia",earthquake,7,2,0.296,3,reviewed,aust,us
2016-08-18T18:27:35.010Z,-19.6628,148.8618,10,4.3,mb,,146,2.49,0.52,us,us10006gd4,2016-11-15T02:21:53.040Z,"76km ENE of Bowen, Australia",earthquake,5.5,1.9,0.217,6,reviewed,us,us
2016-08-18T05:30:34.000Z,-19.73,148.92,2,4,ml,,,,0.34,us,us10006emu,2016-11-15T02:21:53.040Z,"78km ENE of Bowen, Australia",earthquake,10.7,6.8,,,reviewed,aust,aust
2016-08-18T04:30:08.800Z,-19.8352,148.7233,10,5.7,mb,,30,2.335,0.82,us,us10006em9,2017-10-31T12:42:21.340Z,"55km ENE of Bowen, Australia",earthquake,7.1,1.8,,,reviewed,us,us
2016-08-13T15:31:12.390Z,-23.8567,152.9265,10,4.6,mb,,115,2.255,1.07,us,us10006dl0,2016-11-15T02:21:47.040Z,"124km NNE of Bundaberg, Australia",earthquake,7.8,1.9,0.119,21,reviewed,us,us
2016-08-06T21:16:33.000Z,-25.572,129.804,0,4.2,mb,,,,1.42,us,us10006cca,2016-10-26T03:10:21.040Z,"Northern Territory, Australia",earthquake,6.1,2,0.373,2,reviewed,aust,us
2016-08-02T15:11:48.630Z,-11.5605,117.3842,27.35,4.1,mb,,101,4.422,1.03,us,us10006aeu,2016-10-19T04:52:13.040Z,"277km SW of Panenggoede, Indonesia",earthquake,7.2,7.4,0.165,10,reviewed,us,us
2016-07-31T13:45:49.350Z,-19.1824,111.7783,10,4.1,mb,,166,4.138,0.68,us,us10006a4j,2016-10-19T04:51:57.040Z,"Northwest of Australia",earthquake,11,2,0.158,11,reviewed,us,us
2016-07-18T17:55:37.700Z,-11.4649,116.2885,10,4.7,mb,,50,3.644,0.65,us,us20006fkk,2016-09-17T01:27:50.040Z,"284km S of Kute, Indonesia",earthquake,4.3,1.9,0.086,41,reviewed,us,us
2016-07-16T11:44:49.000Z,-32.501,122.436,0,4,mb,,,,1.32,us,us20006gfc,2016-09-17T01:27:47.040Z,"159km NNE of Esperance, Australia",earthquake,10.2,6.2,0.164,10,reviewed,aust,us
2016-07-14T10:08:55.000Z,-32.536,122.433,0,4,mb,,,,1.16,us,us20006g48,2016-09-08T01:50:31.040Z,"155km NNE of Esperance, Australia",earthquake,9,7,0.184,8,reviewed,aust,us
2016-07-08T09:40:50.000Z,-32.458,122.511,0,5.2,mb,,,,1.2,us,us100061v2,2016-09-08T01:50:22.040Z,"166km NNE of Esperance, Australia",earthquake,7.7,3.4,0.072,64,reviewed,aust,us
2016-07-03T11:56:05.300Z,-11.5547,116.0562,30.63,4,mb,,130,3.593,0.95,us,us100061yu,2016-09-02T21:36:35.040Z,"295km S of Kute, Indonesia",earthquake,11.3,5.4,0.139,14,reviewed,us,us
2016-07-03T11:44:28.190Z,-11.5132,116.3732,29.91,4.3,mb,,59,3.732,1.15,us,us100061yt,2016-09-02T21:36:35.040Z,"290km S of Kute, Indonesia",earthquake,8.5,3,0.123,19,reviewed,us,us
2016-07-03T11:40:51.930Z,-11.5983,116.1111,36.36,4.2,mb,,107,3.658,0.93,us,us100061zc,2016-09-02T21:36:35.040Z,"299km S of Kute, Indonesia",earthquake,9.9,4.1,0.152,12,reviewed,us,us
2016-07-02T09:28:55.490Z,-10.3268,119.2173,49.24,5,mb,,70,3.42,0.67,us,us10005zfs,2016-09-02T21:36:34.040Z,"65km S of Bogorawatu, Indonesia",earthquake,8.1,7.4,0.068,68,reviewed,us,us
2016-06-19T01:54:09.000Z,-35.916,136.45,10,4.5,mb,,,,1.07,us,us200066gl,2016-08-27T02:15:28.040Z,"110km WSW of Kingscote, Australia",earthquake,5.5,1.9,0.127,18,reviewed,aust,us
2016-06-15T07:24:33.200Z,-11.4811,116.2994,24.18,4.2,mb,,105,6.707,0.94,us,us200065rb,2016-08-25T01:22:57.040Z,"286km S of Kute, Indonesia",earthquake,6.5,5.3,0.122,19,reviewed,us,us
2016-06-15T02:10:54.320Z,-11.3901,116.2796,30.24,4.7,mb,,46,6.474,1.42,us,us200064gy,2016-08-25T01:22:57.040Z,"276km S of Kute, Indonesia",earthquake,7.9,4.1,0.083,44,reviewed,us,us
2016-06-09T07:23:47.170Z,-10.5345,119.1232,37.56,4.9,mb,,86,3.604,0.94,us,us2000630w,2016-08-18T00:36:36.040Z,"89km SSW of Bogorawatu, Indonesia",earthquake,6.5,6.6,0.074,57,reviewed,us,us
2016-06-09T06:50:01.100Z,-10.6083,119.1079,44.06,4.7,mb,,79,3.656,0.77,us,us2000630t,2016-08-18T00:36:36.040Z,"98km SSW of Bogorawatu, Indonesia",earthquake,7.8,7.3,0.079,49,reviewed,us,us
2016-06-09T04:13:08.130Z,-11.2487,116.2669,19,6.0,mb,,27,3.459,0.76,us,us200062zs,2016-11-10T22:16:21.322Z,"260km S of Kute, Indonesia",earthquake,6.6,1.7,,,reviewed,us,us
2016-06-08T02:01:09.000Z,-32.337,122.386,0,4.2,mb,,,,1.72,us,us200062pn,2016-08-18T00:36:34.040Z,"173km SSE of Stoneville, Australia",earthquake,8.7,1.9,0.158,11,reviewed,aust,us
2016-06-01T13:00:47.000Z,-32.457,122.481,0,3.9,mb,,,,1.46,us,us200062k6,2016-08-10T22:30:31.040Z,"165km NNE of Esperance, Australia",earthquake,10.1,2,0.194,7,reviewed,aust,us
2016-05-28T16:38:44.000Z,-32.285,122.396,15,4.9,mb,,,,1.5,us,us20005yv7,2016-08-10T22:30:25.040Z,"168km SSE of Stoneville, Australia",earthquake,5,4.9,0.108,27,reviewed,aust,us
2016-05-28T15:30:27.000Z,-32.285,122.396,6,4.8,mb,,,,1.35,us,us20005yus,2016-08-10T22:30:25.040Z,"168km SSE of Stoneville, Australia",earthquake,8.1,5,0.111,25,reviewed,aust,us
2016-05-21T11:08:31.000Z,-25.512,129.894,0,4.1,mb,,,,1.95,us,us20005yh7,2016-08-03T22:33:40.040Z,"Northern Territory, Australia",earthquake,6.1,1.9,0.185,8,reviewed,aust,us
2016-05-21T09:08:34.000Z,-25.519,129.891,0,4.2,mb,,,,0.97,us,us10005j49,2016-08-03T22:33:40.040Z,"Northern Territory, Australia",earthquake,5.8,1.9,0.186,8,reviewed,aust,us
2016-05-21T08:46:44.620Z,-25.5802,129.8082,10,4.4,mb,,95,4.186,0.64,us,us20005yh5,2016-08-03T22:33:40.040Z,"Northern Territory, Australia",earthquake,6.5,1.9,0.189,8,reviewed,us,us
