DATETIME,R35,R35STD,BJ84,BJ84STD,MLM92,MLM92STD,WGW96,WGW96STD,A16,A16STD
200008031129,2.99,0.19,3.02,nan,3.15,0.19,3.38,0.24,3.10,0.17
200008291020,2.73,0.36,2.77,0.33,2.77,0.30,2.89,0.35,2.80,0.27
200008291205,4.62,0.46,4.70,0.52,4.44,0.28,4.87,0.34,4.42,0.24
200101051604,2.53,0.31,2.53,0.31,2.57,0.26,2.72,0.32,2.62,0.23
200108212313,3.78,0.29,3.80,0.28,3.59,0.27,3.88,0.22,3.60,0.29
200110130442,3.55,0.23,3.59,0.24,3.37,0.18,3.72,0.27,3.33,0.16
200110270758,4.71,0.40,4.82,0.46,4.42,0.19,4.86,0.29,4.42,0.20
200111230333,3.83,0.43,3.90,0.45,3.68,0.17,4.05,0.26,3.64,0.16
200202141327,3.68,0.34,3.69,0.32,3.58,0.20,3.72,0.32,3.64,0.19
200208222123,3.70,0.53,3.76,0.53,3.63,0.21,4.01,0.31,3.59,0.21
200209240742,3.89,0.29,3.94,0.33,3.70,0.27,3.94,0.33,3.73,0.25
200209241339,3.47,0.23,3.51,0.25,3.30,0.21,3.58,0.34,3.31,0.19
200312111019,4.07,0.28,4.12,0.29,3.95,0.22,4.02,0.32,4.03,0.19
200402281132,3.66,0.21,3.72,0.23,3.47,0.17,3.84,0.22,3.44,0.15
200703080234,3.80,0.28,3.79,0.30,3.68,0.23,3.86,0.29,3.71,0.23
200901120848,3.81,0.39,3.83,0.39,3.57,0.29,3.85,0.38,3.58,0.29
200903060955,4.82,0.35,4.86,0.36,4.66,0.32,4.99,0.43,4.69,0.32
200903180528,4.71,0.34,4.73,0.38,4.51,0.28,4.82,0.41,4.54,0.26
201107050132,4.89,0.33,4.93,0.37,4.47,0.18,4.96,0.34,4.48,0.17
201204191908,3.96,0.28,3.98,0.32,3.72,0.20,4.13,0.29,3.72,0.18
201206050912,3.33,0.58,3.42,0.56,3.25,0.22,3.48,0.34,3.23,0.22
201206081131,4.95,0.39,5.10,0.39,4.33,0.25,4.91,0.26,4.33,0.26
201206191053,5.60,0.39,5.64,0.49,5.35,0.26,5.76,0.39,5.36,0.24
201206220916,4.14,0.39,4.21,0.36,3.85,0.23,4.24,0.26,3.83,0.23
201207200911,4.66,0.49,4.71,0.55,4.40,0.41,4.77,0.52,4.41,0.40
201301121610,3.49,0.41,3.51,0.45,3.34,0.23,3.68,0.31,3.29,0.19
201308082323,3.35,0.15,3.37,0.07,3.34,0.11,3.64,0.23,3.34,0.09
201310072015,3.72,0.48,3.77,0.44,3.62,0.21,3.90,0.34,3.62,0.21
201310241249,3.08,0.08,3.10,0.09,2.94,0.09,3.03,0.19,2.98,0.09
201409231156,3.06,0.00,3.07,0.00,3.13,0.13,3.32,0.13,3.15,0.16
201412021634,3.58,0.14,3.55,0.15,3.40,0.23,3.71,0.26,3.43,0.21
201412031905,3.52,0.30,3.49,0.30,3.48,0.24,3.71,0.31,3.49,0.22
201502151557,5.71,0.50,5.80,0.65,5.28,0.23,5.61,0.33,5.26,0.22
201601301739,3.67,0.40,3.67,0.41,3.63,0.28,3.91,0.38,3.64,0.24
201601301749,4.11,0.00,4.18,0.00,nan,nan,nan,nan,nan,nan
201602100503,3.51,0.25,3.53,0.25,3.26,0.22,3.59,0.29,3.24,0.23
201604041942,3.35,0.27,3.45,0.26,3.31,0.21,3.57,0.29,3.31,0.20
201701031413,3.89,0.36,3.98,0.32,3.82,0.24,4.05,0.38,3.80,0.24
201701311940,3.62,0.27,3.67,0.24,3.57,0.18,3.87,0.27,3.57,0.17
201704131631,4.55,0.19,4.63,0.23,4.24,0.18,4.64,0.23,4.20,0.17
201709280244,2.76,0.18,2.68,0.20,2.66,0.20,2.76,0.25,2.68,0.10
