DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREG,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW,PREFMWSRC,COMM
1993-07-24 13:33:05,728134.5646,local,1,146.485,-38.353,15,MEL,3.19,Allen (2012),NaN,,NaN,,2.86,Allen (unpublished),SEA,NaN,3.19,MW,3.19,MW,Allen (2012),NaN,NaN,3.11,3.19,Allen (2012),"Churchill; Vic"
1993-09-25 02:40:06,728197.1112,local,1,146.53,-38.311,10.23,MEL,3.32,Allen (2012),NaN,,NaN,,3.05,Allen (unpublished),SEA,NaN,3.32,MW,3.32,MW,Allen (2012),NaN,NaN,3.25,3.32,Allen (2012),"Traralgon South; Vic"
1994-02-01 05:53:08,728326.2452,local,2,146.35,-38.536,17.1,MEL,3.72,Allen (2012),NaN,,NaN,,3.63,Allen (unpublished),SEA,NaN,3.72,MW,3.72,MW,Allen (2012),NaN,NaN,3.69,3.72,Allen (2012),"8 km NE of Mount Best; Vic"
1994-05-21 08:59:18,728435.3745,local,1,146.962,-36.034,3,MEL,3.17,Allen (2012),NaN,,NaN,,2.8,Allen (unpublished),SEA,NaN,3.17,MW,3.17,MW,Allen (2012),NaN,NaN,3.07,3.17,Allen (2012),"Ettamogah; NSW"
1994-08-06 11:03:51,728512.461,local,2,151.292,-32.917,0.64,MEL,4.71,Allen (2012),NaN,,5.3,AUST,5.08,Allen (unpublished),SEA,NaN,4.71,MW,4.71,MW,Allen (2012),NaN,5.19,4.91,4.71,Allen (2012),"Ellalong; NSW"
1995-01-11 07:11:37,728670.2997,local,1,145.992,-38.165,8.7,MEL,3.15,Allen (2012),NaN,,NaN,,3.06,Allen (unpublished),SEA,NaN,3.15,MW,3.15,MW,Allen (2012),NaN,NaN,3.26,3.15,Allen (2012),"Warragul; Vic"
1995-02-01 10:21:20,728691.4315,local,2,146.259,-38.462,10.11,MEL,3.07,Allen (2012),NaN,,NaN,,2.98,Allen (unpublished),SEA,NaN,3.07,MW,3.07,MW,Allen (2012),NaN,NaN,3.20,3.07,Allen (2012),"Boolarra South; Vic"
1995-03-26 06:53:30,728744.2872,local,2,147.233,-35.958,3.68,MEL,3.19,Allen (2012),NaN,,NaN,,2.91,Allen (unpublished),SEA,NaN,3.19,MW,3.19,MW,Allen (2012),NaN,NaN,3.15,3.19,Allen (2012),"Dora Dora; NSW"
1995-05-03 04:24:23,728782.1836,local,1,150.249,-33.186,10.69,MEL,3.23,Allen (2012),NaN,,NaN,,3.06,Allen (unpublished),SEA,NaN,3.23,MW,3.23,MW,Allen (2012),NaN,NaN,3.26,3.23,Allen (2012),"Newnes; NSW"
1995-05-03 17:48:25,728782.742,local,2,146.283,-38.472,15,MEL,3.36,Allen (2012),NaN,,NaN,,2.99,Allen (unpublished),SEA,NaN,3.36,MW,3.36,MW,Allen (2012),NaN,NaN,3.20,3.36,Allen (2012),"Boolarra South; Vic"
1995-05-20 11:29:11,728799.4786,local,1,150.083,-33.868,13.8,MEL,3.49,Allen (2012),NaN,,NaN,,3.49,Allen (unpublished),SEA,NaN,3.49,MW,3.49,MW,Allen (2012),NaN,NaN,3.58,3.49,Allen (2012),"Jenolan Caves; NSW"
1995-07-21 14:26:02,728861.6014,local,1,148.859,-36.031,4.84,MEL,3.31,Allen (2012),NaN,,NaN,,3.3,AUST,SEA,NaN,3.31,MW,3.31,MW,Allen (2012),NaN,NaN,3.43,3.31,Allen (2012),"Adaminaby; NSW"
1995-07-29 13:43:27,728869.5718,local,1,148.735,-34.283,2.76,MEL,2.94,Allen (2012),NaN,,NaN,,2.72,Allen (unpublished),SEA,NaN,2.94,MW,2.94,MW,Allen (2012),NaN,NaN,3.01,2.94,Allen (2012),"Frogmore; NSW"
1995-07-30 04:41:03,728870.1952,local,2,147.658,-36.761,11.28,MEL,3.52,Allen (2012),NaN,,NaN,,3.45,Allen (unpublished),SEA,NaN,3.52,MW,3.52,MW,Allen (2012),NaN,NaN,3.55,3.52,Allen (2012),"Benambra; Vic"
1995-08-17 01:41:00,728888.0701,local,1,148.739,-34.313,3.6,MEL,2.93,Allen (2012),NaN,,NaN,,2.87,Allen (unpublished),SEA,NaN,2.93,MW,2.93,MW,Allen (2012),NaN,NaN,3.12,2.93,Allen (2012),"Boorowa; NSW"
1995-08-19 09:01:27,728890.376,local,1,148.741,-34.312,1.27,MEL,3.14,Allen (2012),NaN,,NaN,,3.02,Allen (unpublished),SEA,NaN,3.14,MW,3.14,MW,Allen (2012),NaN,NaN,3.23,3.14,Allen (2012),"Boorowa; NSW"
1995-09-12 10:23:55,728914.4333,local,2,148.72,-34.31,0,MEL,3.16,Allen (2012),NaN,,NaN,,3.1,Allen (unpublished),SEA,NaN,3.16,MW,3.16,MW,Allen (2012),NaN,NaN,3.28,3.16,Allen (2012),"N of Boorowa; NSW"
1995-10-14 04:11:01,728946.1743,local,1,148.761,-34.317,3,MEL,3.23,Allen (2012),NaN,,NaN,,3.16,Allen (unpublished),SEA,NaN,3.23,MW,3.23,MW,Allen (2012),NaN,NaN,3.33,3.23,Allen (2012),"Frogmore; NSW"
1995-11-18 09:32:17,728981.3974,local,1,144.764,-37.114,13.46,MEL,3.55,Allen (2012),NaN,,NaN,,3.52,Allen (unpublished),SEA,NaN,3.55,MW,3.55,MW,Allen (2012),NaN,NaN,3.60,3.55,Allen (2012),"Tooborac; Vic"
1996-01-16 10:30:16,729040.4377,local,1,145.07,-38.284,10.69,MEL,3,Allen (2012),NaN,,NaN,,2.57,Allen (unpublished),SEA,NaN,3.00,MW,3.00,MW,Allen (2012),NaN,NaN,2.90,3.00,Allen (2012),"Mt Martha; Vic"
1996-02-18 19:34:39,729073.8157,local,1,148.666,-36.152,12.83,MEL,3.5,Allen (2012),NaN,,NaN,,3.43,Allen (unpublished),SEA,NaN,3.50,MW,3.50,MW,Allen (2012),NaN,NaN,3.53,3.50,Allen (2012),"Eucumbene; NSW"
1996-05-10 05:48:29,729155.242,local,1,146.145,-37.733,10.6,MEL,2.96,Allen (2012),NaN,,NaN,,2.56,Allen (unpublished),SEA,NaN,2.96,MW,2.96,MW,Allen (2012),NaN,NaN,2.90,2.96,Allen (2012),"Toorongo; Vic"
1996-08-13 12:33:34,729250.5233,local,1,149.214,-34.749,0,MEL,2.99,Allen (2012),NaN,,NaN,,2.84,Allen (unpublished),SEA,NaN,2.99,MW,2.99,MW,Allen (2012),NaN,NaN,3.10,2.99,Allen (2012),"Dalton; NSW"
1996-09-25 04:53:50,729293.2041,local,0,146.425,-37.859,10.76,MEL,3.34,Allen (2012),NaN,,NaN,,3.23,Allen (unpublished),SEA,NaN,3.34,MW,3.34,MW,Allen (2012),NaN,NaN,3.38,3.34,Allen (2012),"Thomson Reservoir; Vic"
1996-09-25 07:49:57,729293.3264,local,3,146.421,-37.863,11.4,MEL,4.44,Allen (2012),NaN,,4.7,AUST,4.84,Allen (unpublished),SEA,NaN,4.44,MW,4.44,MW,Allen (2012),NaN,4.47,4.70,4.44,Allen (2012),"Thomson Reservoir; Vic"
1996-10-01 21:42:21,729299.9044,local,2,150.393,-33.83,8.65,MEL,3.17,Allen (2012),NaN,,NaN,,2.98,Allen (unpublished),SEA,NaN,3.17,MW,3.17,MW,Allen (2012),NaN,NaN,3.20,3.17,Allen (2012),"Katoomba; NSW"
1996-12-10 12:54:26,729369.5378,local,2,150.501,-34.153,12.29,MEL,3.1,Allen (2012),NaN,,NaN,,2.85,Allen (unpublished),SEA,NaN,3.10,MW,3.10,MW,Allen (2012),NaN,NaN,3.10,3.10,Allen (2012),"Thirlmere; NSW"
1996-12-10 12:58:35,729369.5407,local,0,150.504,-34.152,12.43,MEL,2.87,Allen (2012),NaN,,NaN,,2.53,Allen (unpublished),SEA,NaN,2.87,MW,2.87,MW,Allen (2012),NaN,NaN,2.88,2.87,Allen (2012),"Thirlmere; NSW"
1996-12-24 22:28:10,729383.9362,local,1,145.534,-38.696,17.16,MEL,3.29,Allen (2012),NaN,,NaN,,3.12,Allen (unpublished),SEA,NaN,3.29,MW,3.29,MW,Allen (2012),NaN,NaN,3.30,3.29,Allen (2012),"Cape Paterson; Vic"
1997-05-04 22:33:18,729514.9398,local,1,145.959,-38.135,14,MEL,3.21,Allen (2012),NaN,,NaN,,2.96,Allen (unpublished),SEA,NaN,3.21,MW,3.21,MW,Allen (2012),NaN,NaN,3.18,3.21,Allen (2012),"Warragul; Vic"
1997-06-27 03:20:28,729568.1392,local,2,146.094,-36.781,8.5,MEL,3.85,Allen (2012),NaN,,NaN,,3.9,Allen (unpublished),SEA,NaN,3.85,MW,3.85,MW,Allen (2012),NaN,NaN,3.90,3.85,Allen (2012),"6 km S of Tatong; Vic"
1997-08-10 09:20:33,729612.3893,local,2,124.333,-16.159,20,EHB,6.2,GCMT,5.9,AUST,5.8,AUST,6,AUST,WA,NaN,6.20,MW,6.20,MW,GCMT,5.96,5.79,5.78,6.20,GCMT,"Collier Bay; WA"
1997-08-23 00:12:40,729625.0088,local,2,148.197,-34.627,3.63,MEL,3.17,Allen (2012),NaN,,NaN,,3.1,Allen (unpublished),SEA,NaN,3.17,MW,3.17,MW,Allen (2012),NaN,NaN,3.28,3.17,Allen (2012),"Cootamundra; NSW"
1998-02-14 18:23:34,729800.7664,local,1,148.702,-35.375,8.5,MEL,3.79,Allen (2012),NaN,,NaN,,4.04,Allen (unpublished),SEA,NaN,3.79,MW,3.79,MW,Allen (2012),NaN,NaN,4.02,3.79,Allen (2012),"Brindabella; NSW"
1998-03-09 12:40:43,729823.5283,local,1,150.055,-32.171,3.7,MEL,3.34,Allen (2012),NaN,,NaN,,3.28,Allen (unpublished),SEA,NaN,3.34,MW,3.34,MW,Allen (2012),NaN,NaN,3.42,3.34,Allen (2012),"Merriwa; NSW"
1998-04-04 09:55:41,729849.4137,local,1,146.124,-38.709,16.2,MEL,3.42,Allen (2012),NaN,,NaN,,3.28,Allen (unpublished),SEA,NaN,3.42,MW,3.42,MW,Allen (2012),NaN,NaN,3.42,3.42,Allen (2012),"4 km SE of Fish Creek; Vic"
1998-07-17 01:22:39,729953.0574,local,2,148.007,-36.439,19,MEL,3.93,Allen (2012),NaN,,NaN,,4.22,Allen (unpublished),SEA,NaN,3.93,MW,3.93,MW,Allen (2012),NaN,NaN,4.16,3.93,Allen (2012),"Corryong; Vic"
1998-11-07 22:42:50,730066.9464,local,2,148.893,-35.144,6.7,MEL,3.04,Allen (2012),NaN,,NaN,,2.96,Allen (unpublished),SEA,NaN,3.04,MW,3.04,MW,Allen (2012),NaN,NaN,3.18,3.04,Allen (2012),"Wee Jasper; NSW"
1998-12-31 06:11:36,730120.2581,local,1,149.154,-35.783,4.4,MEL,3.21,Allen (2012),NaN,,NaN,,3.2,AUST,SEA,NaN,3.21,MW,3.21,MW,Allen (2012),NaN,NaN,3.36,3.21,Allen (2012),"Michelago; NSW"
1999-01-13 09:40:02,730133.4028,local,1,146.317,-38.097,12.33,MEL,3.54,Allen (2012),NaN,,NaN,,3.61,Allen (unpublished),SEA,NaN,3.54,MW,3.54,MW,Allen (2012),NaN,NaN,3.67,3.54,Allen (2012),"Yallourn North; Vic"
1999-03-14 00:13:32,730193.0094,local,1,147.07,-34.009,12.2,MEL,3.87,Allen (2012),NaN,,NaN,,4.16,Allen (unpublished),SEA,NaN,3.87,MW,3.87,MW,Allen (2012),NaN,NaN,4.11,3.87,Allen (2012),"West Wyalong; NSW"
1999-03-17 01:58:10,730196.0821,local,1,150.748,-34.253,5.29,MEL,4.34,Allen (2012),NaN,,NaN,,4.45,Allen (unpublished),SEA,NaN,4.34,MW,4.34,MW,Allen (2012),NaN,NaN,4.36,4.34,Allen (2012),"7.2 km SW of Appin; NSW"
1999-04-16 10:51:21,730226.4523,local,2,145.984,-37.413,3.6,MEL,3.2,Allen (2012),NaN,,NaN,,3.07,Allen (unpublished),SEA,NaN,3.20,MW,3.20,MW,Allen (2012),NaN,NaN,3.26,3.20,Allen (2012),"Lake Mountain; Vic"
1999-04-16 11:08:10,730226.464,local,0,145.973,-37.415,3.69,MEL,2.95,Allen (2012),NaN,,NaN,,2.62,Allen (unpublished),SEA,NaN,2.95,MW,2.95,MW,Allen (2012),NaN,NaN,2.94,2.95,Allen (2012),"Lake Mountain; Vic"
1999-07-13 01:42:47,730314.0714,local,1,148.976,-34.286,3.65,MEL,3.21,Allen (2012),NaN,,NaN,,3.14,Allen (unpublished),SEA,NaN,3.21,MW,3.21,MW,Allen (2012),NaN,NaN,3.31,3.21,Allen (2012),"Frogmore; NSW"
1999-09-27 09:29:38,730390.3956,local,1,149.163,-34.753,3.6,MEL,2.81,Allen (2012),NaN,,NaN,,2.54,Allen (unpublished),SEA,NaN,2.81,MW,2.81,MW,Allen (2012),NaN,NaN,2.88,2.81,Allen (2012),"Dalton; NSW"
2000-03-16 13:26:30,730561.5601,local,2,146.103,-37.496,8.4,MEL,3.54,Allen (2012),NaN,,NaN,,3.62,Allen (unpublished),SEA,NaN,3.54,MW,3.54,MW,Allen (2012),NaN,NaN,3.68,3.54,Allen (2012),"8 km W of Gaffneys Creek; Vic"
2000-06-22 18:13:57,730659.7597,local,2,144.864,-36.815,5.7,MEL,3.27,Allen (2012),NaN,,NaN,,3.06,Allen (unpublished),SEA,NaN,3.27,MW,3.27,MW,Allen (2012),NaN,NaN,3.26,3.27,Allen (2012),"7 km W of Graytown; Vic"
2000-07-24 07:47:16,730691.3245,local,1,145.272,-37.958,19.5,MEL,3.13,Allen (2012),NaN,,NaN,,2.88,Allen (unpublished),SEA,NaN,3.13,MW,3.13,MW,Allen (2012),NaN,NaN,3.12,3.13,Allen (2012),"6 km NE of Dandenong; Vic"
2000-08-03 11:29:34,730701.4789,local,1,145.989,-38.752,16.2,MEL,3.24,Allen (2012),NaN,,NaN,,3.15,Allen (unpublished),SEA,NaN,3.24,MW,3.24,MW,Allen (2012),NaN,NaN,3.32,3.24,Allen (2012),"Fish Creek; Vic"
2000-08-29 10:20:25,730727.4309,local,0,146.236,-38.391,14.6,MEL,3.04,Allen (2012),NaN,,NaN,,2.77,Allen (unpublished),SEA,NaN,3.04,MW,3.04,MW,Allen (2012),NaN,NaN,3.05,3.04,Allen (2012),"7 km NW of Boolarra South; Vic"
2000-08-29 12:05:51,730727.5041,local,2,146.246,-38.404,15.4,MEL,4.15,Allen (2012),NaN,,NaN,,4.44,Allen (unpublished),SEA,NaN,4.15,MW,4.15,MW,Allen (2012),NaN,NaN,4.35,4.15,Allen (2012),"3 km SW of Boolarra; Vic"
2001-01-05 16:04:56,730856.6701,local,1,146.006,-38.238,7.2,MEL,2.92,Allen (2012),NaN,,NaN,,2.57,Allen (unpublished),SEA,NaN,2.92,MW,2.92,MW,Allen (2012),NaN,NaN,2.90,2.92,Allen (2012),"4 km NE of Mt Worth; Vic"
2001-08-21 23:13:05,731084.9674,local,2,145.472,-38.119,13,MEL,3.66,Allen (2012),NaN,,NaN,,3.59,Allen (unpublished),SEA,NaN,3.66,MW,3.66,MW,Allen (2012),NaN,NaN,3.66,3.66,Allen (2012),"4 km S of Pakenham; Vic"
2001-09-30 04:02:38,731124.1685,local,0,117.014,-30.501,2,AUST,3.51,Allen et al. (2006),NaN,,NaN,,3,AUST,WA,NaN,3.51,MW,3.51,MW,Allen et al. (2006),NaN,NaN,3.21,3.51,Allen et al. (2006),"Burakin; WA"
2001-10-01 04:52:15,731125.203,local,0,117.049,-30.525,0.4,AUST,3.67,Allen et al. (2006),NaN,,NaN,,3.8,AUST,WA,NaN,3.67,MW,3.67,MW,Allen et al. (2006),NaN,NaN,3.82,3.67,Allen et al. (2006),"Burakin; WA"
2001-10-01 05:32:22,731125.2308,local,0,117.047,-30.534,0,AUST,2.83,Allen et al. (2006),NaN,,NaN,,2.6,AUST,WA,NaN,2.83,MW,2.83,MW,Allen et al. (2006),NaN,NaN,2.93,2.83,Allen et al. (2006),"Burakin; WA"
2001-10-01 13:52:13,731125.5779,local,0,117.085,-30.498,0.5,AUST,3.13,Allen et al. (2006),NaN,,NaN,,3.1,AUST,WA,NaN,3.13,MW,3.13,MW,Allen et al. (2006),NaN,NaN,3.28,3.13,Allen et al. (2006),"Burakin; WA"
2001-10-05 14:55:54,731129.6222,local,0,117.056,-30.506,0.8,AUST,3.84,Allen et al. (2006),NaN,,NaN,,3.7,AUST,WA,NaN,3.84,MW,3.84,MW,Allen et al. (2006),NaN,NaN,3.74,3.84,Allen et al. (2006),"Burakin; WA"
2001-10-12 10:29:14,731136.437,local,0,117.055,-30.536,0,AUST,3.24,Allen et al. (2006),NaN,,NaN,,2.9,AUST,WA,NaN,3.24,MW,3.24,MW,Allen et al. (2006),NaN,NaN,3.14,3.24,Allen et al. (2006),"Burakin; WA"
2001-10-13 04:42:05,731137.1959,local,1,147.675,-36.833,8.2,MEL,3.42,Allen (2012),NaN,,NaN,,3.37,Allen (unpublished),SEA,NaN,3.42,MW,3.42,MW,Allen (2012),NaN,NaN,3.49,3.42,Allen (2012),"6 km NW of Benambra; Vic"
2001-10-27 07:58:48,731151.3325,local,2,143.643,-35.356,14.1,MEL,4.19,Allen (2012),NaN,,NaN,,4.42,Allen (unpublished),SEA,NaN,4.19,MW,4.19,MW,Allen (2012),NaN,NaN,4.33,4.19,Allen (2012),"8 km E of Swan Hill; Vic"
2001-11-23 03:33:32,731178.1483,local,2,148.31,-33.901,4.21,MEL,3.58,Allen (2012),NaN,,NaN,,3.68,Allen (unpublished),SEA,NaN,3.58,MW,3.58,MW,Allen (2012),NaN,NaN,3.73,3.58,Allen (2012),"13 km E of Grenfell; NSW"
2001-12-25 00:56:49,731210.0395,local,0,117.079,-30.526,2,AUST,4.07,Allen et al. (2006),NaN,,NaN,,4,AUST,WA,NaN,4.07,MW,4.07,MW,Allen et al. (2006),NaN,NaN,3.98,4.07,Allen et al. (2006),"Burakin; WA"
2001-12-25 05:03:49,731210.211,local,0,117.058,-30.54,3,AUST,2.99,Allen et al. (2006),NaN,,NaN,,2.6,AUST,WA,NaN,2.99,MW,2.99,MW,Allen et al. (2006),NaN,NaN,2.93,2.99,Allen et al. (2006),"Burakin; WA"
2001-12-25 05:06:28,731210.2128,local,0,117.032,-30.546,0,AUST,3.72,Allen et al. (2006),NaN,,NaN,,3.5,AUST,WA,NaN,3.72,MW,3.72,MW,Allen et al. (2006),NaN,NaN,3.59,3.72,Allen et al. (2006),"Burakin; WA"
2001-12-25 05:10:54,731210.2159,local,0,117.055,-30.534,1,AUST,3.74,Allen et al. (2006),NaN,,NaN,,3.6,AUST,WA,NaN,3.74,MW,3.74,MW,Allen et al. (2006),NaN,NaN,3.66,3.74,Allen et al. (2006),"Burakin; WA"
2001-12-25 09:31:23,731210.3968,local,0,117.034,-30.565,0,AUST,2.93,Allen et al. (2006),NaN,,NaN,,2.6,AUST,WA,NaN,2.93,MW,2.93,MW,Allen et al. (2006),NaN,NaN,2.93,2.93,Allen et al. (2006),"Burakin; WA"
2001-12-26 18:58:36,731211.7907,local,0,117.204,-30.464,10.9,ISC,3.54,Allen et al. (2006),NaN,,NaN,,3.5,AUST,WA,NaN,3.54,MW,3.54,MW,Allen et al. (2006),NaN,NaN,3.59,3.54,Allen et al. (2006),"7 km NNE of Burakin; WA"
2001-12-28 16:31:34,731213.6886,local,0,117.296,-30.522,10,USGS,4.22,Allen et al. (2006),NaN,,NaN,,4.5,AUST,WA,NaN,4.22,MW,4.22,MW,Allen et al. (2006),NaN,NaN,4.40,4.22,Allen et al. (2006),"Burakin; WA; Australia"
2001-12-28 22:03:03,731213.9188,local,0,117.051,-30.542,0,AUST,3.68,Allen et al. (2006),NaN,,NaN,,3.4,AUST,WA,NaN,3.68,MW,3.68,MW,Allen et al. (2006),NaN,NaN,3.51,3.68,Allen et al. (2006),"Burakin; WA"
2002-01-10 15:19:50,731226.6388,local,0,117.07,-30.533,1.4,AUST,3.39,Allen et al. (2006),NaN,,NaN,,3.3,AUST,WA,NaN,3.39,MW,3.39,MW,Allen et al. (2006),NaN,NaN,3.43,3.39,Allen et al. (2006),"Burakin; WA"
2002-01-10 19:17:07,731226.8036,local,0,117.069,-30.538,0.8,AUST,3.34,Allen et al. (2006),NaN,,NaN,,3,AUST,WA,NaN,3.34,MW,3.34,MW,Allen et al. (2006),NaN,NaN,3.21,3.34,Allen et al. (2006),"Burakin; WA"
2002-02-13 00:32:29,731260.0226,local,0,117.038,-30.528,2,AUST,3.29,Allen et al. (2006),NaN,,NaN,,3,AUST,WA,NaN,3.29,MW,3.29,MW,Allen et al. (2006),NaN,NaN,3.21,3.29,Allen et al. (2006),"Burakin; WA"
2002-02-14 13:27:21,731261.5607,local,1,150.659,-34.425,14.3,MEL,3.5,Allen (2012),NaN,,NaN,,3.58,Allen (unpublished),SEA,NaN,3.50,MW,3.50,MW,Allen (2012),NaN,NaN,3.65,3.50,Allen (2012),"20 km W of Wollongong; NSW"
2002-02-24 20:28:18,731271.853,local,0,117.065,-30.505,1.4,AUST,3.18,Allen et al. (2006),NaN,,NaN,,2.9,AUST,WA,NaN,3.18,MW,3.18,MW,Allen et al. (2006),NaN,NaN,3.14,3.18,Allen et al. (2006),"Burakin; WA"
2002-02-25 17:37:17,731272.7342,local,0,117.072,-30.504,1.5,AUST,3.53,Allen et al. (2006),NaN,,NaN,,3.5,AUST,WA,NaN,3.53,MW,3.53,MW,Allen et al. (2006),NaN,NaN,3.59,3.53,Allen et al. (2006),"Burakin; WA"
2002-03-01 18:47:45,731276.7832,local,0,117.058,-30.486,0.3,AUST,3.41,Allen et al. (2006),NaN,,NaN,,3.1,AUST,WA,NaN,3.41,MW,3.41,MW,Allen et al. (2006),NaN,NaN,3.28,3.41,Allen et al. (2006),"Burakin; WA"
2002-03-05 01:47:38,731280.0748,local,2,117.084,-30.479,0.5,AUST,4.46,Allen et al. (2006),NaN,,NaN,,5,AUST,WA,NaN,4.46,MW,4.46,MW,Allen et al. (2006),NaN,NaN,4.84,4.46,Allen et al. (2006),"Burakin; WA"
2002-03-05 03:29:57,731280.1458,local,0,117.075,-30.495,0.4,AUST,4.2,Allen et al. (2006),NaN,,NaN,,4.6,AUST,WA,NaN,4.20,MW,4.20,MW,Allen et al. (2006),NaN,NaN,4.49,4.20,Allen et al. (2006),"Burakin; WA"
2002-03-05 12:41:25,731280.5288,local,0,117.05,-30.5,1.1,AUST,3.27,Allen et al. (2006),NaN,,NaN,,2.9,AUST,WA,NaN,3.27,MW,3.27,MW,Allen et al. (2006),NaN,NaN,3.14,3.27,Allen et al. (2006),"Burakin; WA"
2002-03-22 03:24:59,731297.1424,local,0,117.07,-30.506,1.3,AUST,3.48,Allen et al. (2006),NaN,,NaN,,3.3,AUST,WA,NaN,3.48,MW,3.48,MW,Allen et al. (2006),NaN,NaN,3.43,3.48,Allen et al. (2006),"Burakin; WA"
2002-03-23 13:16:22,731298.553,local,0,117.065,-30.521,1.7,AUST,4.39,Allen et al. (2006),NaN,,NaN,,4.8,AUST,WA,NaN,4.39,MW,4.39,MW,Allen et al. (2006),NaN,NaN,4.66,4.39,Allen et al. (2006),"Burakin; WA"
2002-03-23 14:20:47,731298.5978,local,0,117.062,-30.52,1,AUST,3.49,Allen et al. (2006),NaN,,NaN,,3.5,AUST,WA,NaN,3.49,MW,3.49,MW,Allen et al. (2006),NaN,NaN,3.59,3.49,Allen et al. (2006),"Burakin; WA"
2002-03-24 19:27:06,731299.8105,local,0,117.066,-30.524,2,AUST,3.16,Allen et al. (2006),NaN,,NaN,,3,AUST,WA,NaN,3.16,MW,3.16,MW,Allen et al. (2006),NaN,NaN,3.21,3.16,Allen et al. (2006),"Burakin; WA"
2002-03-25 05:44:42,731300.2394,local,0,117.074,-30.525,4,AUST,3.76,Allen et al. (2006),NaN,,NaN,,3.7,AUST,WA,NaN,3.76,MW,3.76,MW,Allen et al. (2006),NaN,NaN,3.74,3.76,Allen et al. (2006),"Burakin; WA"
2002-03-30 22:39:42,731305.9442,local,0,117.06,-30.526,3,AUST,3.31,Allen et al. (2006),NaN,,NaN,,3.3,AUST,WA,NaN,3.31,MW,3.31,MW,Allen et al. (2006),NaN,NaN,3.43,3.31,Allen et al. (2006),"Burakin; WA"
