DATETIME,MMI_MW,MX_ORIG,MX_REVML,PREF_MW,AUTH
197712021332,4.60,4.7,4.7,4.35,MEL
197805010342,nan,5.7,5.0,5.41,ISC
197805041134,nan,3.0,2.96,3.11,MEL
197806091231,nan,3.0,2.81,3.11,MGO
197810200052,nan,2.7,2.69,2.91,TAU
197904162324,2.50,2.6,2.4,2.84,MEL
197906020948,6.10,6.1,6.1,6.1,EHB
197907040918,4.10,3.4,3.4,3.39,ADE
197909061307,nan,3.1,3.06,3.18,BMR
197910110404,5.10,4.8,4.78,4.46,BMR
197910221113,4.90,3.5,3.5,3.45,ADE
198004150038,5.00,4.4,4.4,4.07,ADE
198009042105,nan,4.3,4.21,4.0,BMR
198011130856,4.70,4.1,4.1,3.87,ADE
198012080012,5.50,5.2,5.11,4.88,MGO
198012100435,5.30,5.0,4.89,4.67,MGO
198103241834,2.90,2.2,2.16,2.56,GSQ
198103241834,2.90,3.1,3.1,3.18,GSQ
198104072015,5.20,4.5,4.49,4.14,BMR
198105101439,4.40,3.8,3.68,3.58,BRS
198106162133,5.10,5.3,5.31,4.98,MEL
198108311935,4.10,2.8,2.8,2.97,ADE
198110110926,nan,3.2,3.13,3.25,BRS
198111151658,4.90,4.1,4.1,4.1,MEL
198111300209,4.20,3.7,3.68,3.59,MEL
198201240406,4.00,4.3,4.22,4.0,MGO
198202061524,4.50,4.9,4.8,4.56,EHB
198203041002,3.80,3.7,3.72,3.59,BRS
198203041002,3.80,3.7,3.65,3.59,BRS
198203090009,3.50,3.4,3.37,3.39,MEL
198205200736,3.00,3.6,3.56,3.52,BMR
198206080313,nan,2.9,2.86,3.04,BRS
198206090432,nan,0.5,0.49,1.4,UQ
198206090432,nan,3.6,3.54,3.52,BRS
198207050902,nan,2.2,2.21,2.56,BRS
198211211134,5.20,5.4,5.39,5.09,MEL
198211260011,3.80,4.6,4.61,4.25,MEL
198301260616,4.90,4.8,4.8,4.46,ISC
198303072326,4.00,3.9,3.89,3.73,MEL
198304081933,4.90,4.5,4.39,4.14,ISC
198306201733,5.10,4.7,4.72,4.35,MEL
198311240530,nan,6.9,6.9,6.77,ISC
198311240530,nan,6.9,6.9,6.77,ISC
198311251956,nan,5.9,5.9,6.02,ISC
198311251956,nan,5.9,5.9,6.02,ISC
198311251956,nan,6.0,6.0,6.0,EHB
198312291742,4.70,4.3,4.3,4.0,ISC
198403040712,2.60,2.2,2.17,2.54,BRS
198408090630,4.20,4.3,4.27,4.0,MEL
198410300629,4.30,3.9,3.88,3.73,BRS
198502130801,4.20,4.3,4.28,4.0,MEL
198507280739,5.40,5.6,5.43,5.3,EHB
198508021216,4.80,4.7,4.52,4.35,GSQ
198510101334,nan,4.3,4.27,4.0,MGO
198510230049,nan,5.9,5.9,6.35,ISC
198511272318,4.50,4.5,4.46,4.14,ISC
198511282051,2.50,2.4,2.38,2.7,MEL
198512020619,3.70,3.2,3.19,3.25,GSQ
198601071006,2.60,3.1,3.07,3.18,CAN
198601152211,nan,3.8,3.51,3.66,MGO
198602202143,3.50,4.0,3.96,3.8,MEL
198603160153,nan,4.1,4.03,3.87,MEL
198603300853,6.00,5.7,5.7,5.7,EHB
198605171241,nan,4.0,3.94,3.8,MGO
198605171457,nan,3.6,3.37,3.52,MGO
198609011353,nan,4.1,4.06,3.87,MGO
198701072001,nan,5.3,5.25,4.98,EHB
198703070538,4.60,4.6,4.57,4.25,ISC
198706130434,nan,2.6,2.58,2.84,MEL
198706161326,2.50,2.9,2.86,3.04,BMR
198706170132,nan,6.8,6.8,7.18,ISC
198706170132,nan,6.8,6.8,7.18,ISC
198706191332,3.50,3.7,3.46,3.59,MGO
198706200823,2.60,3.0,2.98,3.11,CAN
198706241504,nan,4.3,4.27,4.0,MEL
198706262328,2.50,3.1,3.07,3.16,BMR
198707050528,2.50,2.7,2.66,2.91,MGO
198712221506,5.10,4.9,4.86,4.56,GG
198801060342,4.10,4.3,4.3,4.0,MGO
198801220036,nan,6.27,6.27,6.27,EHB
198801221205,6.50,6.58,6.58,6.58,EHB
198801280156,4.50,5.0,5.0,4.67,MGO
198802060523,nan,5.1,5.1,5.1,EHB
198805302111,nan,6.4,6.4,7.04,ISC
198805302111,nan,6.4,6.4,7.04,ISC
198807030823,3.20,4.0,3.98,3.8,MEL
198808142323,3.60,4.0,3.92,3.8,BRS
198809070707,nan,3.9,3.95,3.73,BMR
198901052048,3.30,3.9,3.92,3.73,MEL
198904180351,3.80,3.5,3.49,3.45,MEL
198905280255,5.80,5.6,5.6,5.3,EHB
198907200929,nan,3.2,3.2,3.25,MGO
198908131917,4.40,3.1,3.1,3.18,ADE
198909070808,3.80,2.9,2.9,3.04,ADE
198910130959,nan,5.5,5.5,5.5,EHB
198910151135,3.90,3.0,3.0,3.11,ADE
198911080506,3.90,3.9,3.9,3.73,ADE
198912272326,5.90,5.42,5.42,5.42,MEL
198912290908,2.50,2.8,2.76,2.97,MEL
199001170638,4.70,5.5,5.5,5.2,MGO
199001262325,3.20,3.7,3.7,3.59,ADE
199002210452,3.20,3.4,3.4,3.39,ADE
199003041138,3.80,2.6,2.6,2.84,ADE
199003050655,3.80,3.0,3.0,3.11,ADE
199003080955,3.80,3.0,3.0,3.11,ADE
199004011204,nan,2.9,2.89,3.04,MEL
199005041206,3.40,2.9,2.89,3.04,MEL
199005130535,3.70,4.3,3.98,4.0,GSQ
199006090406,2.80,2.9,2.8,3.04,GSQ
199006111508,3.30,2.7,2.7,2.91,ADE
199006132023,3.50,3.0,3.0,3.11,ADE
199010052211,3.70,2.7,2.7,2.91,ADE
199102121818,nan,2.6,2.6,2.84,ADE
199103090136,4.00,4.2,4.2,3.93,MGO
199104091400,nan,3.4,3.4,3.39,MGO
199105110904,3.40,3.0,3.0,3.11,ADE
199107131935,2.50,2.3,2.24,2.63,GSQ
199108061411,3.90,4.4,3.87,4.07,ISC
199108170628,3.90,3.8,3.8,3.66,ADE
199108191858,4.50,2.9,2.9,3.04,ADE
199109221701,nan,2.4,2.4,2.7,MGO
199109232119,nan,4.0,4.0,3.8,ISC
199109240436,2.50,4.1,4.1,3.87,GSQ
199109281505,3.40,3.6,3.64,3.52,GSQ
199111221739,2.50,2.9,2.88,3.04,GSQ
199112011813,3.10,3.6,3.57,3.52,BRS
199112130448,nan,4.3,4.3,4.0,MGO
199201112131,2.50,2.4,2.4,2.7,BRS
199203030335,2.60,2.3,2.3,2.63,GSQ
199203110035,3.00,2.4,2.39,2.7,GSQ
199205271017,3.30,2.9,2.9,3.04,ADE
199206111914,3.80,3.1,3.1,3.18,ADE
199209301118,5.70,5.1,5.1,4.77,ISC
199210110203,nan,3.7,3.7,3.59,MEL
199212202052,nan,7.0,7.0,7.18,ISC
199212202052,nan,7.0,7.0,7.18,ISC
199304251802,nan,1.8,1.81,2.29,BRS
199305081600,3.30,2.3,2.3,2.63,ADE
199308220956,2.50,2.0,1.96,2.43,BRS
199311250406,4.50,3.7,3.69,3.59,BRS
199404201302,3.90,2.4,2.4,2.7,ADE
199404261549,nan,4.1,4.1,3.87,MGO
199405210859,2.50,3.17,3.17,3.17,MEL
199406171152,2.50,3.4,3.37,3.39,BRS
199407040910,2.90,3.8,3.65,3.66,AGSO
199407171135,nan,3.0,2.95,3.11,BRS
199408061103,4.80,4.71,4.71,4.71,MEL
199408102037,4.40,3.2,3.2,3.25,ADE
199408210553,3.20,4.1,4.1,3.87,MEL
199409040108,2.80,4.0,3.96,3.8,AGSO
199410111034,nan,3.9,3.9,3.73,AGSO
199411232053,nan,3.0,3.0,3.11,MGO
199510271028,4.40,4.2,4.2,3.93,ADE
199511130400,4.30,3.7,3.7,3.59,ADE
199512250443,nan,6.2,6.2,6.77,ISC
199512250443,nan,6.2,6.2,6.77,ISC
199606040827,nan,3.4,3.18,3.39,BRS
199606171122,nan,6.3,6.3,6.9,ISC
199606171122,nan,6.3,6.3,6.9,ISC
199606181331,3.60,3.7,3.7,3.59,MGO
199606211456,4.40,4.1,4.1,3.87,MGO
199607180540,nan,2.7,2.66,2.91,BRS
199608130430,nan,5.1,5.1,4.77,MEL
199609250749,4.70,4.44,4.44,4.44,MEL
199610180528,nan,4.1,4.1,3.87,MGO
199610260854,nan,3.7,3.7,3.59,MGO
199612101254,3.30,3.1,3.1,3.1,MEL
199703050615,5.10,5.0,5.0,4.67,ADE
199707082134,4.50,4.2,4.2,3.93,MGO
199708100920,6.40,6.2,6.2,6.2,EHB
199708231730,4.70,4.2,4.01,3.93,MEL
199708311523,4.70,4.6,4.6,4.25,MGO
199709010948,3.70,4.5,4.5,4.14,MGO
199709030512,4.50,4.2,4.2,3.93,MGO
199802141823,4.60,3.79,3.79,3.79,MEL
199802261413,5.00,4.1,4.1,3.87,ADE
199803110327,3.60,3.7,3.7,3.59,ADE
199805221901,4.60,3.8,3.8,3.66,MEL
199807170122,4.40,3.93,3.93,3.93,MEL
199808191112,3.60,3.0,3.0,3.11,MEL
199810161346,4.00,3.9,3.9,3.73,MEL
199812310611,3.50,3.21,3.21,3.21,MEL
199903051358,3.10,2.8,2.8,2.97,MEL
199903140013,4.10,3.87,3.87,3.87,MEL
199903170158,3.70,4.34,4.34,4.34,MEL
199906211359,2.50,2.7,2.55,2.91,MEL
199908181101,4.10,4.1,4.1,3.87,ADE
200003161326,4.10,3.54,3.54,3.54,MEL
200008291205,4.50,4.15,4.15,4.15,MEL
200109280254,4.20,5.0,5.0,4.67,ISC
200110191743,5.30,5.2,5.2,4.88,ISC
200112281631,4.20,4.22,4.22,4.22,AUST
200212141338,2.70,2.8,2.8,2.97,AUST
200306241607,2.80,2.7,2.7,2.91,AUST
200310032225,3.30,1.4,1.4,2.02,AUST
200312111019,3.70,3.81,3.81,3.81,MEL
