Order #,Zone Full Name,Name,,State,Area,Mmin,Mmax,N5 (Activity Rate),Beta,Last Revised,EQcat,Status
89,Tamworth Terrane ZEN M5-6.4,Tamworth Terrane,TAM,NSW/QLD,38149.11,5,6.4,0.01103,1.726899982,2013-10,2013-07,OK
90,Thomson ZEN M5-6.8,Thomson,TOM,Vic,2798.81,5,6.8,0.00879,1.657899976,2013-10,2013-10,Re-do
91,Timor Sea ZEN M5-7.3,Timor Sea,TRS,NT,264373.58,5,7.3,0.0779,2.493700027,2008-11,2007-09,Re-do
92,Venus Bay ZEN M5-6.8,Venus Bay,VNB,Vic,1822.77,5,6.8,0.001622,1.970999956,2013-10,2013-10,Re-do
93,Warburton Basin ZEN M5-7.3,Warburton,WAR,NT/SA,436472.35,5,7.3,0.04447,1.726899982,2010-04,2010-03,OK
94,West Sydney Basin ZEN M5-6.4,West Sydney Basin,WSB,NSW,8244.83,5,6.4,0.01281,1.726899982,2013-10,2013-07,OK
95,West Tasmania ZEN M5-7.3,West Tasmania,WTA,Tas,55465.59,5,7.3,0.01876,1.91110003,2012-07,2012-08,OK
96,Western Port ZEN M5-6.8,Western Port,WNP,Vic,3340.39,5,6.8,0.002372,1.842100024,2013-10,2013-10,Re-do
97,Wimmera ZEN M5-7.3,Wimmera,WIM,Vic,19089.38,5,7.3,0.007437,1.796000004,2008-MM,2000-03,Re-do
98,Wiso Basin ZEN M5-7.3,Wiso Basin,WSO,NT,216534.34,5,7.3,0.07576,1.842100024,missing,missing,
99,Yilgarn ZEN M5-7.3,Yilgarn,YIL,WA,409505.34,5,7.3,0.05259,1.888100028,2012-03,2011-12,OK
100,Young ZEN M5-6.4,Young,YNG,NSW,7813.6,5,6.4,0.008889,2.1875,2014-02,2014-02,OK
101,Peterborough ZEN M5-7.3,Peterborough,PBG,SA,13169.68,5,7.3,0.004,2.302599907,2009-09,2009-09,OK
102,Eromanga Basin ZEN M5-7.3,Eromanga,EMG,QLD/NSW,464237.43,5,7.3,0.006225,1.726899982,2010-04,2010-03,Re-do
103,Cooper Basin ZEN M5-7.3,Cooper,CPR,QLD/NSW,221795,5,7.3,0.01949,1.773000002,2010-04,2010-03,Re-do
104,Mount Buffalo ZEN M5-7.3,Mt Buffalo,MBF,Vic,4269.78,5,7.3,0.002266,1.91110003,2011-10,2011-10,OK
105,Hyden ZEN M5-7.3,Kalgoorlie,KAL,WA,140616.54,5,7.3,0.01529,2.1875,2012-03,2011-12,OK
106,Yilgarn SW ZEN M5-7.3,Yilgarn Extra,YGE,WA,9938.84,5,7.3,0.05259,1.888100028,2012-03,2011-12,OK
107,Eyre Peninsula ZEN M5-7.3,Eyre Peninsula,EYP,SA,51596.61,5,7.3,0.00945,1.773000002,2009-03,2009-03,Re-do
108,Flinders Ranges ZEN M5-6.8,Flinders Ranges,FLR,SA,21115.66,5,6.8,0.03305,2.072299957,2013-12,2013-11,OK
109,Spencer Gulf ZEN M5-6.8,Spencer Gulf,SPG,SA,54545.63,5,6.8,0.006608,2.026299953,2013-11,2013-11,OK
110,Stuart Shelf ZEN M5-7.3,Stuart Shelf,STS,SA,35894.19,5,7.3,0.0008999,2.302599907,2013-11,2013-11,OK
111,Whyalla ZEN M5-6.8,Whyalla,WHY,SA,18064.35,5,6.8,0.01525,1.888100028,2013-11,2013-11,OK
112,Gawler ZEN M5-7.3,Gawler,GAW,SA,149172.27,5,7.3,0.00253,1.611799955,2009-03,2009-03,Re-do
113,Broken Hill ZEN M5-6.8,Broken Hill,BKH,SA/NSW,47961.1,5,6.8,0.0104528,1.773000002,2008-10,2007-12,Re-do
114,Yunta ZEN M5-6.8,Yunta,YUN,SA,8632.18,5,6.8,0.00533484,1.7269,2014-08,2014-12,OK
115,Central New England ZEN M5-6.4,Central New England,CNE,QLD,25987.51,5,6.4,0.0101,1.773,2015-05,2015-02,OK
116,Northern New England ZEN M5-6.8,Northern New England,NNE,QLD,22024.71,5,6.8,0.00677,1.634799957,2012-12,2013-03,Re-do
117,Gayndah ZEN M5-7.3,Gayndah,GDH,QLD,13012.13,5,7.3,0.00667,1.796,2015-05,2015-02,OK
118,New England Coast ZEN M5-7.3,New England Coast,NEC,NSW,104409.56,5,7.3,0.00632,1.611799955,2009-04,2008-06,Re-do
119,Maryborough ZEN M5-7.3,Maryborough,MBG,QLD,45711.49,5,7.3,0.00632,1.611799955,2012-12,2013-02,Re-do
120,Seamound ZEN M5-7.3,Seamound,SEA,QLD,66196.88,5,7.3,0.00415,1.819,2015-05,2015-02,OK
121,Mt Buller ZEN M5-7.3,Mt Buller,MBL,Vic,3385.68,5,7.3,0.00401,1.7269,2015-08,2015-05,OK
122,Yea ZEN M5-7.3,Yea,YEA,Vic,7694.98,5,7.3,0.00048,2.302599907,2015-08,2015-05,OK
123,Yarrawonga ZEN M5-7.3,Yarrawonga,YAR,Vic,5290.69,5,7.3,0.00379,1.611799955,2015-08,2015-05,OK
124,Shepparton ZEN M5-7.3,Shepparton,SPT,Vic,4316.72,5,7.3,0.00379,1.611799955,2015-08,2015-05,OK
125,Eildon ZEN M5-7.3,Eildon,ELD,Vic,4525.34,5,7.3,0.00391,1.842100024,2015-08,2015-05,OK
